site_year,yday,hour,year,site,do.pel,do.ben,temp.pel,temp.ben,par.pel,par.ben,wspeed,k,o2_eq,series,unique_series,series_length,unique_day,index
st33_2017,181,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
st33_2017,181,2,2017,st33,12.530000000000001,12.6034164140806,12.32,12.284266666666667,2.239862313004503,0.7775668923669186,0.7745966692414834,0.018793819268033335,10.347132013506954,1,1,420,1,1
st33_2017,181,3,2017,st33,12.469999999999999,12.535448272334762,12.285,12.2439,2.728064794281092,0.9470460983020617,1.0488088481701516,0.020189198943853497,10.355340396957292,1,1,420,1,2
st33_2017,181,4,2017,st33,12.465,12.495694613610873,12.22,12.202,9.648535049360868,3.349483301123671,1.0488088481701516,0.02015353920667091,10.370615218207252,1,1,420,1,3
st33_2017,181,5,2017,st33,12.415,12.474773437486588,12.2,12.1894,18.837412789847658,6.539396836222068,1,0.019814642738657042,10.375323204814125,1,1,420,1,4
st33_2017,181,6,2017,st33,12.395,12.398142353744932,12.19,12.163,18.378022258285753,6.379919681784737,2.32379000772445,0.05071636388131351,10.37767861966886,1,1,420,1,5
st33_2017,181,7,2017,st33,12.34,12.360340425035911,12.165,12.1562,78.10679468069857,27.114728106276086,2.258317958127243,0.04764941785320594,10.38357130713171,1,1,420,1,6
st33_2017,181,8,2017,st33,12.315,12.348630044946704,12.175,12.180166666666667,84.53932923181394,29.347778714750497,2.3664319132398464,0.05278482213614811,10.381213520339703,1,1,420,1,7
st33_2017,181,9,2017,st33,12.379999999999999,12.408757025755618,12.225000000000001,12.232566666666667,112.10649600789867,38.917704543221575,1.70293863659264,0.029362606219203252,10.369438813493028,1,1,420,1,8
st33_2017,181,10,2017,st33,12.41,12.51356835164177,12.305,12.325866666666666,143.34932059110298,49.76363283036719,1.3416407864998738,0.02308015620805298,10.350648478282068,1,1,420,1,9
st33_2017,181,11,2017,st33,12.575,12.74887166150444,12.41,12.440633333333333,84.53932923181397,29.347778714750504,1,0.019928089870870483,10.326077660356308,1,1,420,1,10
st33_2017,181,12,2017,st33,12.684999999999999,12.820469336260384,12.57,12.563466666666667,227.88864982291696,79.1114115451177,0.6324555320336759,0.01852824664339801,10.288834886510136,1,1,420,1,11
st33_2017,181,13,2017,st33,12.795,12.877857046872991,12.74,12.664066666666667,286.6986411822059,99.52726566073437,0.7745966692414834,0.01900924272988374,10.249524983094851,1,1,420,1,12
st33_2017,181,14,2017,st33,12.79,12.916480756640905,12.85,12.703266666666666,257.29364550256145,89.31933860292604,2.2135943621178655,0.04655313308027633,10.224231073382363,1,1,420,1,13
st33_2017,181,15,2017,st33,12.75,12.897203142634401,12.915,12.929166666666667,257.29364550256145,89.31933860292604,2.1447610589527217,0.043749691236586376,10.209336756406628,1,1,420,1,14
st33_2017,181,16,2017,st33,12.825,12.997939804103549,13.024999999999999,13.033233333333333,224.21299201579734,77.83540908644315,1.4832396974191326,0.025640395242423144,10.18421867937643,1,1,420,1,15
st33_2017,181,17,2017,st33,13.045,13.16428198677422,13.08,13.1127,135.99827175417596,47.21172052460606,1.7888543819998317,0.03217650813229761,10.17170080927295,1,1,420,1,16
st33_2017,181,18,2017,st33,13.125,13.18962023609005,13.15,13.1481,102.91735149009969,35.72769839653523,2.280350850198276,0.0499630963527695,10.155808500714034,1,1,420,1,17
st33_2017,181,19,2017,st33,13.045,13.136752321301346,13.175,13.1709,104.75544717097165,36.36579223746044,2.3021728866442674,0.051035714879149006,10.150143375762042,1,1,420,1,18
st33_2017,181,20,2017,st33,13.06,13.083815924757737,13.2,13.175,87.29620597580971,30.304826864550368,2.073644135332772,0.041309947219464,10.144483869971015,1,1,420,1,19
st33_2017,181,21,2017,st33,12.875,12.853066651596423,13.184999999999999,13.150766666666666,47.78301793793026,16.58784673959308,1.8439088914585775,0.033769445995960004,10.147878899571687,1,1,420,1,20
st33_2017,181,22,2017,st33,12.7,12.70713203188823,13.16,13.127,19.756460630283645,6.858443756684674,2.1213203435596424,0.04310076167444404,10.153541775947593,1,1,420,1,21
st33_2017,181,23,2017,st33,12.585,12.573832295960498,13.145,13.107066666666666,6.145215385905041,2.13330792826012,2.1447610589527217,0.0440224264479839,10.156942200672583,1,1,420,1,22
st33_2017,181,24,2017,st33,12.469999999999999,12.46511751004461,13.105,13.0777,3.2160004982455073,1.1164326926492618,1.816590212458495,0.032939474725738056,10.166019910188112,1,1,420,1,23
st33_2017,182,1,2017,st33,12.4,12.375851542522494,13.09,13.0564,1.4069835444003986,0.4884335148098057,1.6733200530681511,0.029383360722740608,10.16942777229346,1,1,420,2,24
st33_2017,182,2,2017,st33,12.33,12.296686633849255,13.05,13.022233333333332,0.6317286752256625,0.2193042402483162,1.6431676725154984,0.02869317887093883,10.178525344354,1,1,420,2,25
st33_2017,182,3,2017,st33,12.265,12.228992419123047,13.035,12.992466666666667,1.4643406665175935,0.5083450062174864,0.31622776601683794,0.018399357685243534,10.181940666003062,1,1,420,2,26
st33_2017,182,4,2017,st33,12.215,12.212967688474658,13.01,12.965,4.450912676294322,1.5451317332360255,1.140175425099138,0.021325928061237,10.187637399073477,1,1,420,2,27
st33_2017,182,5,2017,st33,12.16,12.197798979762615,12.975000000000001,12.946466666666666,19.756460630283645,6.858443756684674,1.4142135623730951,0.02451767747647819,10.195622351930947,1,1,420,2,28
st33_2017,182,6,2017,st33,12.155000000000001,12.18396566527127,12.955,12.9263,28.026557307646623,9.729402982908407,1.4832396974191326,0.025591927173699885,10.200190179445643,1,1,420,2,29
st33_2017,182,7,2017,st33,12.155,12.197422330110623,12.95,12.9325,64.3234780699684,22.329857803628492,0.9486832980505138,0.019909862018935295,10.201332704815602,1,1,420,2,30
st33_2017,182,8,2017,st33,12.23,12.235326981452005,12.955,12.950899999999999,130.4845182661844,45.29762422500631,1.1832159566199232,0.02169335705590056,10.200190179445643,1,1,420,2,31
st33_2017,182,9,2017,st33,12.315000000000001,12.332434109911047,12.97,12.9618,135.99827175417596,47.21172052460606,1.224744871391589,0.02212191277407582,10.196763967837942,1,1,420,2,32
st33_2017,182,10,2017,st33,12.375,12.343596635960992,13,12.9922,294.049690019133,102.07917796649551,1.9235384061671346,0.03595980828122058,10.189917679345218,1,1,420,2,33
st33_2017,182,11,2017,st33,12.295,12.303603291094927,13.05,13.022466666666666,286.6983744048938,99.52717304914644,2.3021728866442674,0.0508637582033712,10.178525344354,1,1,420,2,34
st33_2017,182,12,2017,st33,12.28,12.297405692275785,13.09,13.100333333333333,599.1263534596246,207.98636330901462,2.258317958127243,0.04885957065429115,10.16942777229346,1,1,420,2,35
st33_2017,182,13,2017,st33,12.23,12.239333164114102,13.15,13.145233333333334,499.88465977664436,173.5346673711539,2.258317958127243,0.04893878266637,10.155808500714034,1,1,420,2,36
st33_2017,182,14,2017,st33,12.219999999999999,12.174515183094014,13.18,13.194566666666667,316.1036368618505,109.73519271854272,2.1908902300206643,0.04598717625606121,10.149011025314046,1,1,420,2,37
st33_2017,182,15,2017,st33,12.190000000000001,12.170988372716272,13.235,13.226833333333333,185.61885181835385,64.43747588194847,2.280350850198276,0.05007781092737224,10.136569987602025,1,1,420,2,38
st33_2017,182,16,2017,st33,12.175,12.181431840339688,13.285,13.305666666666667,470.47966409699995,163.32674031334557,2.3021728866442674,0.05118735506734624,10.12528347948511,1,1,420,2,39
st33_2017,182,17,2017,st33,12.120000000000001,12.223308433465712,13.36,13.381533333333334,216.86167640155816,75.28340416909408,2.2135943621178655,0.04719864508912403,10.108395592301086,1,1,420,2,40
st33_2017,182,18,2017,st33,12.34,12.42060436935464,13.46,13.495533333333334,161.72760962670088,56.14364512373986,2.258317958127243,0.049349394115812704,10.085956259968,1,1,420,2,41
st33_2017,182,19,2017,st33,12.39,12.414269807025683,13.535,13.535366666666667,91.8906448460531,31.899783632099567,2.280350850198276,0.05048406610222168,10.06918488642308,1,1,420,2,42
st33_2017,182,20,2017,st33,12.32,12.389239725606938,13.54,13.536833333333334,78.10706145801076,27.114820717864035,2.258317958127243,0.04945572159783661,10.068068560571021,1,1,420,2,43
