name,site,layer,year,yday,hour,lower,middle,upper
b,st33,pelagic,2018,165,1,0.3796715356464256,0.45317040798929115,0.5361768779944727
b,st33,benthic,2018,165,1,0.3456033016741846,0.4476487258043035,0.5686652734736315
b,st33,pelagic,2018,165,2,0.3777860202833361,0.4504257403177596,0.5314285287531069
b,st33,benthic,2018,165,2,0.34391281081097574,0.4441514280883794,0.5626011908408627
b,st33,pelagic,2018,165,3,0.3760166284101009,0.44803180556713607,0.5266175833411776
b,st33,benthic,2018,165,3,0.3413579209594116,0.44009485733061515,0.5532284394554557
b,st33,pelagic,2018,165,4,0.3747664602607628,0.4459193322568299,0.5226720759309754
b,st33,benthic,2018,165,4,0.3389382625140588,0.4362814449446186,0.5461894414893045
b,st33,pelagic,2018,165,5,0.3731772720210801,0.4433547081418807,0.5191133958917467
b,st33,benthic,2018,165,5,0.33658376317728755,0.43263748712825467,0.5389253847152217
b,st33,pelagic,2018,165,6,0.37153346275300353,0.4407458289787767,0.5146062249345371
b,st33,benthic,2018,165,6,0.33528772630052583,0.42983612136180205,0.534796229952326
b,st33,pelagic,2018,165,7,0.37009452118602915,0.4380272344516278,0.5104594358926282
b,st33,benthic,2018,165,7,0.3330199471828921,0.42547237976333835,0.5278759354366163
b,st33,pelagic,2018,165,8,0.36822228927956674,0.4354525361096825,0.506801008420971
b,st33,benthic,2018,165,8,0.32997437096503257,0.42041425606147487,0.5193802608236988
b,st33,pelagic,2018,165,9,0.3659535581975141,0.4330250114247587,0.5026102744521264
b,st33,benthic,2018,165,9,0.3286696280856317,0.41777854158672817,0.5146091976059615
b,st33,pelagic,2018,165,10,0.36463749292936454,0.43076916753772027,0.49951171940035394
b,st33,benthic,2018,165,10,0.3273927152130417,0.41589495392734754,0.5117615266871482
b,st33,pelagic,2018,165,11,0.3640635971326922,0.4297097799925239,0.4983544801659476
b,st33,benthic,2018,165,11,0.3253706974035252,0.4135298880765079,0.5078343819323056
b,st33,pelagic,2018,165,12,0.36333682121152816,0.42835124676237546,0.49688513873252566
b,st33,benthic,2018,165,12,0.32358600990480196,0.4106158943723896,0.5032610276604554
b,st33,pelagic,2018,165,13,0.36245809394160233,0.4263678135789777,0.49401178606740337
b,st33,benthic,2018,165,13,0.32214802470820564,0.4079243416072993,0.4989982458057996
b,st33,pelagic,2018,165,14,0.36126190997828317,0.4251474811014714,0.49190518661487775
b,st33,benthic,2018,165,14,0.32182728906324287,0.406634310859448,0.497482932178265
b,st33,pelagic,2018,165,15,0.36081303209135573,0.424442864084208,0.4907465925682121
b,st33,benthic,2018,165,15,0.3208265712584459,0.40513159774726826,0.49516280684032554
b,st33,pelagic,2018,165,16,0.3602581730684846,0.42336872310603446,0.48945662822934055
b,st33,benthic,2018,165,16,0.3195339620041251,0.4029539276971489,0.49168615395200477
b,st33,pelagic,2018,165,17,0.359439414460081,0.42172894833580127,0.4872135536172174
b,st33,benthic,2018,165,17,0.31749318745596544,0.4002760846591641,0.4869456915434271
b,st33,pelagic,2018,165,18,0.3581368595085655,0.41979324932998574,0.4848913009320473
b,st33,benthic,2018,165,18,0.315115395932816,0.39703655060266674,0.48199402627584653
b,st33,pelagic,2018,165,19,0.3557069745937925,0.4168881770833828,0.48100697229144584
b,st33,benthic,2018,165,19,0.31306741009950206,0.3940056079059202,0.4778901998022598
b,st33,pelagic,2018,165,20,0.35297047217733907,0.4135367531600439,0.4764159176562737
b,st33,benthic,2018,165,20,0.30943248817022045,0.3894322498218027,0.4707985790407621
b,st33,pelagic,2018,165,21,0.34957809814219276,0.41015586746860955,0.4713509383643299
b,st33,benthic,2018,165,21,0.3056981663077743,0.3837547649193095,0.46316603701520365
b,st33,pelagic,2018,165,22,0.34855560318933443,0.40885409362259206,0.468887865673689
b,st33,benthic,2018,165,22,0.30385964472898847,0.3805236475889493,0.45922498959048663
b,st33,pelagic,2018,165,23,0.34605872938485954,0.4054529847725447,0.4659611915830949
b,st33,benthic,2018,165,23,0.30134177791536554,0.37701170867699285,0.4546974636553506
b,st33,pelagic,2018,165,24,0.34370504009574454,0.40258034962793154,0.4624794763793099
b,st33,benthic,2018,165,24,0.2977878780349033,0.372364433796201,0.4494832696542005
b,st33,pelagic,2018,166,1,0.3425797096094522,0.40016718766522463,0.46071246400164645
b,st33,benthic,2018,166,1,0.2946937314105868,0.3669174031767197,0.4440416795898593
b,st33,pelagic,2018,166,2,0.34064497429777824,0.39809276125833026,0.4585461330467938
b,st33,benthic,2018,166,2,0.29294929482377613,0.36445673854992544,0.4411659664765506
b,st33,pelagic,2018,166,3,0.33749747337330116,0.39463911229183823,0.4553394183090835
b,st33,benthic,2018,166,3,0.28896084605314,0.3597801366811836,0.43445641109736055
b,st33,pelagic,2018,166,4,0.3345177116580508,0.391614743277521,0.4519063543343558
