name,site,year,yday,layer,lower,middle,upper
b0,reyk,2018,165,pelagic,0.13851383781873633,0.19905049790338453,0.2609415131990461
b0,reyk,2018,165,benthic,0.10280741992875575,0.18600311595004454,0.27414159178890846
b0,reyk,2018,166,pelagic,0.13871872032179963,0.20026183349133325,0.26035192983718825
b0,reyk,2018,166,benthic,0.10419330153217786,0.18587350453375914,0.2735927969707183
b0,reyk,2018,167,pelagic,0.13979873161072162,0.20080825745801234,0.26056752991124016
b0,reyk,2018,167,benthic,0.10408280558117458,0.18565313171934578,0.2737810241806655
b0,reyk,2018,168,pelagic,0.14090453910496034,0.2011882655985604,0.25965348161763063
b0,reyk,2018,168,benthic,0.10434946572526581,0.18573645662992574,0.2730747949198985
b0,reyk,2018,169,pelagic,0.14291132526916192,0.20127134646074474,0.25925016377740584
b0,reyk,2018,169,benthic,0.10442581807510726,0.18612569934810874,0.27276373923341296
b0,reyk,2018,170,pelagic,0.14341092473122585,0.20196429364486057,0.2591245344510788
b0,reyk,2018,170,benthic,0.10544022130842859,0.18538611864568605,0.27310471211574205
b0,reyk,2018,171,pelagic,0.143575094855499,0.2023180409610817,0.2598425781864534
b0,reyk,2018,171,benthic,0.10389308948400608,0.18459466806416808,0.27266084240424504
b0,reyk,2018,172,pelagic,0.1459848533348325,0.20294636697495122,0.25986847907561583
b0,reyk,2018,172,benthic,0.10489532065132501,0.18355731756154858,0.27178003420284474
b0,reyk,2018,173,pelagic,0.14665872947346897,0.20337424707009882,0.2608220232268261
b0,reyk,2018,173,benthic,0.10393505429142347,0.182759624099524,0.27027751810690837
b0,reyk,2018,174,pelagic,0.14790817264896297,0.20433354379805016,0.2611925262677723
b0,reyk,2018,174,benthic,0.10496887353288684,0.1832872287903225,0.2700665577913391
b0,reyk,2018,175,pelagic,0.14933411823084636,0.20471486404292327,0.2618704002171792
b0,reyk,2018,175,benthic,0.10523894452736561,0.1825171076234277,0.26896560917287077
b0,reyk,2018,176,pelagic,0.1518016425745519,0.20623868173594775,0.2639377715597581
b0,reyk,2018,176,benthic,0.10500078704132577,0.18249162924131984,0.2701793821876374
b0,reyk,2018,177,pelagic,0.15419187996743575,0.20840962861725162,0.2645020925848133
b0,reyk,2018,177,benthic,0.10388827887258016,0.18189740307901428,0.27126484897260805
b0,reyk,2018,178,pelagic,0.15573574146872998,0.21027404899913654,0.26537419620479696
b0,reyk,2018,178,benthic,0.10323317224140145,0.18225856506079638,0.2715775462380769
b0,reyk,2018,179,pelagic,0.15832596035686358,0.21153179890920748,0.26686715354162505
b0,reyk,2018,179,benthic,0.10395458499364343,0.1815020034774188,0.27157375481035045
b0,reyk,2018,180,pelagic,0.16012777216465343,0.21319905830930352,0.2690862112220011
b0,reyk,2018,180,benthic,0.10371222369690525,0.1808438569974512,0.2727579114803188
b0,reyk,2018,181,pelagic,0.16216605162191383,0.21501060281626871,0.27101337954491933
b0,reyk,2018,181,benthic,0.10359736889006188,0.18159562870319096,0.27244727974222616
b0,reyk,2018,182,pelagic,0.16373440835193875,0.2173255351473168,0.27300906082654985
b0,reyk,2018,182,benthic,0.10342447471766719,0.18151854255323158,0.27262612222082505
b0,reyk,2018,183,pelagic,0.1669495246655704,0.21880836424101413,0.2733037488854696
b0,reyk,2018,183,benthic,0.10371698379925826,0.1821978289915262,0.2718185819916679
b0,reyk,2018,184,pelagic,0.1706639797719276,0.22260944498581425,0.27554042065242856
b0,reyk,2018,184,benthic,0.10437807877152205,0.18208179092082216,0.27141903966781916
b0,reyk,2018,185,pelagic,0.17400728631617565,0.22491588111711197,0.2785768981569845
b0,reyk,2018,185,benthic,0.10453802823550587,0.18231843397677272,0.2719524131918073
b0,reyk,2018,186,pelagic,0.17809615160399872,0.22811237114029842,0.2821766428613039
b0,reyk,2018,186,benthic,0.10389778798591956,0.18240394858399533,0.2714567201046534
b0,reyk,2018,187,pelagic,0.1816596870086729,0.23152491380656973,0.28519722108834006
b0,reyk,2018,187,benthic,0.10504884610707928,0.1826998897200406,0.2720644615259581
b0,reyk,2018,188,pelagic,0.1850076050128435,0.23408741155487733,0.287764396605012
b0,reyk,2018,188,benthic,0.10374237532637177,0.1832861539252823,0.272348027062275
b0,reyk,2018,189,pelagic,0.18882434498123718,0.23665952531883588,0.2915046408568598
b0,reyk,2018,189,benthic,0.10434364316876216,0.1823622718674661,0.2718069962761547
b0,reyk,2018,190,pelagic,0.19122860347844425,0.23994030027148372,0.29396458683779125
b0,reyk,2018,190,benthic,0.1031600573790878,0.18205198208084983,0.27263061574896635
b0,reyk,2018,191,pelagic,0.1945566390404851,0.2442020933952717,0.29789250700254444
b0,reyk,2018,191,benthic,0.1038282155503602,0.18326948754049574,0.2729440773899557
b0,reyk,2018,192,pelagic,0.1990918970247022,0.24755396025616766,0.3010949995427435
b0,reyk,2018,192,benthic,0.1044091685784692,0.18329084074766894,0.2727937827961697
b0,reyk,2018,193,pelagic,0.20249777039783978,0.2506753546694336,0.30520380584962264
b0,reyk,2018,193,benthic,0.10480088215555268,0.1834755397963097,0.27129719190030277
b0,reyk,2018,194,pelagic,0.20621714183419493,0.25407702814716343,0.30847215339962275
b0,reyk,2018,194,benthic,0.10475779874939196,0.18246134945995462,0.2711986965334521
b0,reyk,2018,195,pelagic,0.2092242550138248,0.2575917873362875,0.3112146126562906
b0,reyk,2018,195,benthic,0.10328835697251812,0.18171811905676027,0.27313794275524106
b0,reyk,2018,196,pelagic,0.21223642226958772,0.25977517854188586,0.31396094161681537
b0,reyk,2018,196,benthic,0.1040971844906594,0.1831646506679928,0.2734436134604181
