name,site,layer,year,yday,hour,lower,middle,upper
b,st33,pelagic,2019,171,1,0.13606500981890363,0.17442056518440274,0.21488992550232827
b,st33,benthic,2019,171,1,0.3428655106500945,0.38755959301249154,0.43921256902032596
b,st33,pelagic,2019,171,2,0.13577819039918074,0.17397481570196233,0.21442367808554197
b,st33,benthic,2019,171,2,0.34211089919953613,0.3871617191586265,0.438858762362975
b,st33,pelagic,2019,171,3,0.13521537001179448,0.17326275244669215,0.21386026197044666
b,st33,benthic,2019,171,3,0.3411733458493108,0.3865212371310249,0.4383304595387322
b,st33,pelagic,2019,171,4,0.13476054954910083,0.17289625374953488,0.21345806236603349
b,st33,benthic,2019,171,4,0.34051656711150036,0.3861761897807678,0.4378871429415124
b,st33,pelagic,2019,171,5,0.1345597180065471,0.17271782954512105,0.21336892657294493
b,st33,benthic,2019,171,5,0.3399364756515575,0.38585465199433866,0.4375470154750942
b,st33,pelagic,2019,171,6,0.13426014645579504,0.17250069677943625,0.21321192264417638
b,st33,benthic,2019,171,6,0.339661823927558,0.38575193173787875,0.43724560636804044
b,st33,pelagic,2019,171,7,0.13393833018639598,0.17220224174783122,0.21306215523790514
b,st33,benthic,2019,171,7,0.33932805790844595,0.38548143613669805,0.43703071777454394
b,st33,pelagic,2019,171,8,0.13359441869523694,0.17187011715710207,0.2126808189225445
b,st33,benthic,2019,171,8,0.3390177817381144,0.3851103015306747,0.4369959426206006
b,st33,pelagic,2019,171,9,0.1332455550824853,0.17157237229449687,0.21230053746510572
b,st33,benthic,2019,171,9,0.3386527005377874,0.38477756251045125,0.43673664796162326
b,st33,pelagic,2019,171,10,0.1331225943406511,0.1714574122328954,0.2121775292544184
b,st33,benthic,2019,171,10,0.3386470987065185,0.384755678823107,0.4367240276630262
b,st33,pelagic,2019,171,11,0.13317887365352657,0.17153075402023304,0.21224207529190994
b,st33,benthic,2019,171,11,0.33887516554565333,0.38502003997208184,0.4369251253031601
b,st33,pelagic,2019,171,12,0.13337648629523535,0.1716570168090476,0.2124591485005013
b,st33,benthic,2019,171,12,0.33918946814547174,0.3852928212619905,0.4370159884869781
b,st33,pelagic,2019,171,13,0.13355025075189475,0.17182520896839615,0.2126059381986198
b,st33,benthic,2019,171,13,0.3390775668835493,0.38521716499016023,0.43700580556611757
b,st33,pelagic,2019,171,14,0.13346334018565773,0.17173729058538525,0.21252091863888686
b,st33,benthic,2019,171,14,0.3389746899006747,0.38508223822890353,0.43698842920869957
b,st33,pelagic,2019,171,15,0.13346334018565773,0.17173729058538525,0.21252091863888686
b,st33,benthic,2019,171,15,0.33925414433956114,0.38539430937008046,0.4370225347757084
b,st33,pelagic,2019,171,16,0.13361833668936812,0.17191503798729602,0.2127557261877522
b,st33,benthic,2019,171,16,0.33949834399554735,0.38561169289187786,0.437135235565664
b,st33,pelagic,2019,171,17,0.13403369211942304,0.17226457186190103,0.21310493518710516
b,st33,benthic,2019,171,17,0.34031636844691376,0.3860760893104291,0.4377212709535534
b,st33,pelagic,2019,171,18,0.13444221962638592,0.1726365926553426,0.21330941827750544
b,st33,benthic,2019,171,18,0.34061485509961387,0.3862370817650658,0.43800276728130616
b,st33,pelagic,2019,171,19,0.13446716690898325,0.17265908434759766,0.21332774931494797
b,st33,benthic,2019,171,19,0.3406536038175343,0.3862475334659885,0.43800923349025195
b,st33,pelagic,2019,171,20,0.1346097175370431,0.17275402884609087,0.21338303780509188
b,st33,benthic,2019,171,20,0.34054471196747294,0.3861945693490901,0.4379078601416546
b,st33,pelagic,2019,171,21,0.13446716690898325,0.17265908434759766,0.21332774931494797
b,st33,benthic,2019,171,21,0.33999688849952914,0.3858621620201603,0.43756067935087317
b,st33,pelagic,2019,171,22,0.13393833018639598,0.17220224174783122,0.21306215523790514
b,st33,benthic,2019,171,22,0.3391315139199037,0.3852527372252982,0.4370107151590483
b,st33,pelagic,2019,171,23,0.1332455550824853,0.17157237229449687,0.21230053746510572
b,st33,benthic,2019,171,23,0.338249447510833,0.38431435908663314,0.4364300466304669
b,st33,pelagic,2019,171,24,0.13273632257843462,0.17098462998787317,0.2118052252844242
b,st33,benthic,2019,171,24,0.3373318203710127,0.38366604244250485,0.4359718994136851
b,st33,pelagic,2019,172,1,0.133598066660385,0.1707412679352646,0.2103726817480687
b,st33,benthic,2019,172,1,0.33769393742311893,0.3836633281041594,0.4352933386196509
b,st33,pelagic,2019,172,2,0.1331795561401236,0.17033358222234857,0.20994050562404687
b,st33,benthic,2019,172,2,0.33680037190529144,0.3831380797425023,0.4348707672897103
b,st33,pelagic,2019,172,3,0.1328571345603514,0.1700376360843796,0.2096410570080486
b,st33,benthic,2019,172,3,0.3362914648292853,0.38265274994891585,0.43445420734385587
b,st33,pelagic,2019,172,4,0.13245417416527355,0.16957072783857685,0.20926556096733534
b,st33,benthic,2019,172,4,0.33589695203978887,0.38235309443624865,0.43407783828379015
b,st33,pelagic,2019,172,5,0.13201972095333153,0.1692237146755006,0.20897619127209724
b,st33,benthic,2019,172,5,0.3355771598915542,0.38199479000614794,0.43383792758941403
b,st33,pelagic,2019,172,6,0.13165798335141313,0.16890636636252185,0.20868083572897028
b,st33,benthic,2019,172,6,0.33529109354659486,0.3816740737775559,0.43360672488316643
b,st33,pelagic,2019,172,7,0.13128449606874773,0.16859455284792135,0.20831070914417563
b,st33,benthic,2019,172,7,0.33504938215678876,0.3812573085771076,0.43342960123893565
b,st33,pelagic,2019,172,8,0.13109591519760647,0.16847956076860493,0.2081321050274113
b,st33,benthic,2019,172,8,0.3349603893452881,0.38120660898661574,0.43341519507033777
b,st33,pelagic,2019,172,9,0.1309236976300328,0.1682775682396836,0.207944272921593
b,st33,benthic,2019,172,9,0.33488706112940947,0.38115577449573473,0.43333582402077553
b,st33,pelagic,2019,172,10,0.1308177309204887,0.1681770879869861,0.20786761306747417
b,st33,benthic,2019,172,10,0.3347171064130878,0.38101560832840575,0.43317726072742535
b,st33,pelagic,2019,172,11,0.13060298973623669,0.16798165712938687,0.20776912786664098
b,st33,benthic,2019,172,11,0.3344645942042833,0.38078055667350896,0.4329867952369747
b,st33,pelagic,2019,172,12,0.13104024837546643,0.168420392184539,0.20806422714399161
b,st33,benthic,2019,172,12,0.33469393740783737,0.38098989888323564,0.43316723225786125
b,st33,pelagic,2019,172,13,0.13290236704012243,0.17006732039824657,0.20965376495377894
b,st33,benthic,2019,172,13,0.3345882433797369,0.3809189887072909,0.4331307425663137
b,st33,pelagic,2019,172,14,0.13299537805158027,0.17014416252671477,0.20967796612645984
b,st33,benthic,2019,172,14,0.33454793805790517,0.38087754807121066,0.4331097833902106
b,st33,pelagic,2019,172,15,0.1331795561401236,0.17033358222234857,0.20994050562404687
b,st33,benthic,2019,172,15,0.3358139650420735,0.3822130767797137,0.4340474610611008
b,st33,pelagic,2019,172,16,0.13327913213877854,0.1703802856046352,0.2099790035541578
b,st33,benthic,2019,172,16,0.3376480100839678,0.3836271687834766,0.43526074509286783
b,st33,pelagic,2019,172,17,0.1334849352168892,0.17059346373892825,0.21021878890495216
b,st33,benthic,2019,172,17,0.33832186831415406,0.3841293143796368,0.43575145437700447
b,st33,pelagic,2019,172,18,0.13381316067275484,0.1710378228205247,0.210563642237487
b,st33,benthic,2019,172,18,0.33902128707729806,0.3847874452166192,0.43630862092603373
b,st33,pelagic,2019,172,19,0.1344524748901273,0.17180445255605942,0.21113829454817107
b,st33,benthic,2019,172,19,0.3394855361626833,0.3851369414507432,0.4365601516520484
b,st33,pelagic,2019,172,20,0.13461784068298688,0.17204489170223625,0.2113298148956399
b,st33,benthic,2019,172,20,0.3398099680933644,0.3853374013664805,0.4367757485030178
b,st33,pelagic,2019,172,21,0.1344906163863664,0.17185816076847843,0.21117865874947045
b,st33,benthic,2019,172,21,0.33899858145389256,0.38476619488831687,0.4362877949638466
b,st33,pelagic,2019,172,22,0.13399531254484526,0.17130807313780022,0.2107837885084899
b,st33,benthic,2019,172,22,0.3382802884990474,0.3840727603220969,0.43562771806743805
b,st33,pelagic,2019,172,23,0.13347313505469505,0.1705552726986877,0.21018454200846043
b,st33,benthic,2019,172,23,0.3371308274145943,0.3832682012809533,0.4349709821239198
b,st33,pelagic,2019,172,24,0.13276674576604872,0.16994915380845005,0.2095501311733876
b,st33,benthic,2019,172,24,0.3361614949775725,0.3825564668189789,0.4342108403046363
b,st33,pelagic,2019,173,1,0.13329778185941007,0.1695320728706391,0.2086159602009999
b,st33,benthic,2019,173,1,0.3363534999165532,0.3813512561953428,0.4324821346753628
