name,site,year,yday,layer,lower,middle,upper
b0,st33,2019,171,pelagic,0.1501409504767226,0.19067562094535057,0.231778689254767
b0,st33,2019,171,benthic,0.3632977329932622,0.4070708478963395,0.45615189209003143
b0,st33,2019,172,pelagic,0.15130136098980718,0.19041879628887076,0.23099726920135014
b0,st33,2019,172,benthic,0.3642390491963775,0.4080105701628679,0.45687206497694516
b0,st33,2019,173,pelagic,0.15272886674249064,0.19026129362540192,0.22963009172699772
b0,st33,2019,173,benthic,0.3652844007665201,0.4079530781389778,0.4556738564223378
b0,st33,2019,174,pelagic,0.1523368779327505,0.18973818570651385,0.22840480674614563
b0,st33,2019,174,benthic,0.36653465433992116,0.40845931882928155,0.45490060931524906
b0,st33,2019,175,pelagic,0.15347375299645993,0.19021776777214272,0.22638242764320426
b0,st33,2019,175,benthic,0.36769362423872326,0.4089065564587303,0.4555013982514544
b0,st33,2019,176,pelagic,0.15497529064876908,0.19019821212291504,0.22600992750317503
b0,st33,2019,176,benthic,0.36751440968956034,0.4102986515412327,0.45591085992063585
b0,st33,2019,177,pelagic,0.1554267467717773,0.1901205081416811,0.22499906720837146
b0,st33,2019,177,benthic,0.3694492073731177,0.4110454996576279,0.45619640971323355
b0,st33,2019,178,pelagic,0.1547939788993855,0.18856363046536212,0.2237012342858646
b0,st33,2019,178,benthic,0.3707588489949454,0.4111944458144863,0.45586821896074936
b0,st33,2019,179,pelagic,0.15486643079763235,0.1883684350918357,0.223874264124684
b0,st33,2019,179,benthic,0.37059314242406777,0.41079529223840894,0.4540980187768373
b0,st33,2019,180,pelagic,0.15499662116869534,0.18914231721064123,0.2235961366092111
b0,st33,2019,180,benthic,0.3696540514590107,0.40993491826383677,0.4524933194900397
b0,st33,2019,181,pelagic,0.1561786546056381,0.18917360021586124,0.22389842548455782
b0,st33,2019,181,benthic,0.37018669496457535,0.4099892840247521,0.4527395329231711
b0,st33,2019,182,pelagic,0.1566458023563519,0.18940243439984686,0.22318884902298886
b0,st33,2019,182,benthic,0.3710420903109511,0.4111731017792387,0.4525891837429756
b0,st33,2019,183,pelagic,0.15707138570857346,0.18943417843619717,0.22302317542624342
b0,st33,2019,183,benthic,0.37210959893292583,0.4114357119442584,0.45167140219171975
b0,st33,2019,184,pelagic,0.1567084463339332,0.1888199381494317,0.22195896947512295
b0,st33,2019,184,benthic,0.37394783282790933,0.41258184592498715,0.45302432911271323
b0,st33,2019,185,pelagic,0.15686918775538275,0.1893398032880923,0.22172634326706675
b0,st33,2019,185,benthic,0.3760334425899841,0.41392063526595624,0.4548536446387149
b0,st33,2019,186,pelagic,0.15899368841573183,0.19058803531411694,0.22256147567300988
b0,st33,2019,186,benthic,0.38001105305659666,0.4182155833908882,0.45900065612973034
b0,st33,2019,187,pelagic,0.16011629494989293,0.1915287531512353,0.22310452641682565
