site_year,yday,hour,year,site,do.pel,do.ben,temp.pel,temp.ben,par.pel,par.ben,wspeed,k,o2_eq,series,unique_series,series_length,unique_day,index
reyk_2019,171,1,2019,reyk,11.940917299668147,14.18582413763551,10.934833333333334,10.861,0.59755,0.0999,2.04939015319192,0.03799595057108303,10.68102579986206,1,1,33,1,1
reyk_2019,171,2,2019,reyk,11.834278553561747,13.70647023428278,10.8985,10.7785,0.1998,0.0999,1.816590212458495,0.031017737889427677,10.690039880777936,1,1,33,1,2
reyk_2019,171,3,2019,reyk,11.793720866518003,10.988948734816773,10.8355,10.711,0.39867499999999995,0.0999,1.5811388300841898,0.025820577895828246,10.705701658501757,1,1,33,1,3
reyk_2019,171,4,2019,reyk,11.77186866444702,7.594441855930329,10.798,10.6695,1.4929499999999998,0.0999,1.51657508881031,0.02466812354446976,10.715043378832174,1,1,33,1,4
reyk_2019,171,5,2019,reyk,11.195809654332585,9.385721042515279,10.7764,10.591333333333333,3.8831499999999997,0.0999,1.6431676725154984,0.026968745642850976,10.720430739137027,1,1,33,1,5
reyk_2019,171,6,2019,reyk,11.94721073386459,11.520992537982888,10.742166666666666,10.44,7.367624999999999,0.39867499999999995,1.6733200530681511,0.027561685452441923,10.728978833101031,1,1,33,1,6
reyk_2019,171,7,2019,reyk,11.828684389831576,13.087851780918243,10.625833333333333,10.3705,16.6278,1.2940749999999999,1.9748417658131499,0.035250346138295106,10.758117397556214,1,1,33,1,7
reyk_2019,171,8,2019,reyk,11.76365223646833,13.782400460276476,10.565,10.3945,25.289499999999997,2.1903999999999995,1.9235384061671346,0.033648210374116,10.773410221195522,1,1,33,1,8
reyk_2019,171,9,2019,reyk,11.830607383613822,13.831364811618204,10.501666666666667,10.4115,49.385749999999994,4.082025,2.16794833886788,0.04184726794476985,10.789372270735146,1,1,33,1,9
reyk_2019,171,10,2019,reyk,11.986020244742656,13.409845613111141,10.492666666666667,10.44,63.72232499999999,5.376099999999999,2.1213203435596424,0.04007637428755403,10.791643943948955,1,1,33,1,10
reyk_2019,171,11,2019,reyk,12.098427972195795,12.998261210528483,10.478833333333334,10.3975,103.54912499999999,8.960474999999999,1.9748417658131499,0.03510806726129754,10.795137233312005,1,1,33,1,11
reyk_2019,171,12,2019,reyk,12.036018083081066,12.819257476819043,10.509166666666667,10.3975,130.631275,12.445875000000001,1.8708286933869707,0.0321129556173687,10.787479853265605,1,1,33,1,12
reyk_2019,171,13,2019,reyk,11.943714381533233,12.660123334958422,10.525833333333333,10.39,143.375925,11.74935,1.7888543819998317,0.030010747176399902,10.783276574420649,1,1,33,1,13
reyk_2019,171,14,2019,reyk,11.970461476868117,12.490876990103311,10.45,10.4495,97.17679999999999,8.36385,1.7888543819998317,0.029948175285553266,10.802424833989745,1,1,33,1,14
reyk_2019,171,15,2019,reyk,11.96276950173913,12.442622267041898,10.497166666666667,10.472,114.70092499999998,10.65415,1.4832396974191326,0.023931244472005175,10.790508002012052,1,1,33,1,15
reyk_2019,171,16,2019,reyk,12.043710058210053,12.405366782325363,10.557500000000001,10.538166666666667,168.865225,14.2376,1.378404875209022,0.022468791932633184,10.775298291066472,1,1,33,1,16
reyk_2019,171,17,2019,reyk,12.129895143178011,12.496376609275753,10.607666666666667,10.594333333333333,108.3286,9.9567,1.51657508881031,0.024539394771075296,10.762680286438005,1,1,33,1,17
reyk_2019,171,18,2019,reyk,12.096155343180413,12.328194706841115,10.614,10.6365,68.5018,5.575899999999999,1.9235384061671346,0.033693593764415386,10.76108916724374,1,1,33,1,18
reyk_2019,171,19,2019,reyk,12.169753559755485,12.344516157288359,10.6455,10.65,76.46697499999999,5.574975,1.7320508075688772,0.02876852957085688,10.753181599223621,1,1,33,1,19
reyk_2019,171,20,2019,reyk,12.200696277887998,12.3108088139734,10.6665,10.680166666666667,43.80985,3.0867250000000004,1.8439088914585775,0.031529072009717746,10.747915576426422,1,1,33,1,20
reyk_2019,171,21,2019,reyk,12.230240455087966,12.26734408180411,10.6905,10.697166666666666,21.706049999999998,1.3939749999999997,1.6431676725154984,0.02690515048477075,10.74190282997505,1,1,33,1,21
reyk_2019,171,22,2019,reyk,12.234960530735298,12.309212150342692,10.6875,10.6985,19.315849999999998,0.9962249999999999,1.9235384061671346,0.033761759565644915,10.742654098887277,1,1,33,1,22
reyk_2019,171,23,2019,reyk,12.207514164934144,12.198510138613564,10.6965,10.703333333333333,5.974575,0.0999,1.7320508075688772,0.028808897293110078,10.740400570050232,1,1,33,1,23
reyk_2019,171,24,2019,reyk,12.176396629185064,12.000523848405699,10.689,10.6575,4.082025,0.0999,1.0488088481701516,0.019326937785214375,10.742278452850417,1,1,33,1,24
reyk_2019,172,1,2019,reyk,12.183738969080913,11.902417738652161,10.6785,10.623000000000001,1.891625,0.0999,1.2649110640673518,0.021194582354439898,10.744908461606263,1,1,33,2,25
reyk_2019,172,2,2019,reyk,12.186186415712864,7.047318451807522,10.656,10.593,1.3939749999999997,0.0999,1.3038404810405297,0.02161286089329906,10.750548019340393,1,1,33,2,26
reyk_2019,172,3,2019,reyk,12.094931619864438,10.712725926704188,10.615333333333334,10.587,1.9905999999999997,0.0999,0.31622776601683794,0.017224149807785433,10.760754247617326,1,1,33,2,27
reyk_2019,172,4,2019,reyk,12.055772473753235,10.843652344422292,10.571166666666667,10.578,4.878449999999999,0.0999,0.7071067811865476,0.017716477351361157,10.77185824494058,1,1,33,2,28
reyk_2019,172,5,2019,reyk,12.051751668572175,7.524188656179151,10.5455,10.593,13.342199999999998,0.498575,1.0954451150103321,0.019584838175384006,10.77832041608057,1,1,33,2,29
reyk_2019,172,6,2019,reyk,12.121678715199321,9.323628567987722,10.5425,10.5825,23.697574999999997,1.2940749999999999,1.140175425099138,0.019937299117211624,10.779076180741834,1,1,33,2,30
reyk_2019,172,7,2019,reyk,12.181815975298667,10.796639470851428,10.55,10.581,33.45355,1.79265,1.0488088481701516,0.01925319508816075,10.777186944168504,1,1,33,2,31
reyk_2019,172,8,2019,reyk,12.20943715871639,11.689706661627762,10.5545,10.580833333333333,42.216075,2.489175,0.31622776601683794,0.017195351060127484,10.776053682306097,1,1,33,2,32
reyk_2019,172,9,2019,reyk,12.22059052265342,12.477748866917485,10.5768,10.5615,66.90894999999999,3.98305,0.44721359549995793,0.017285930772907625,10.77044083802003,1,1,33,2,33
reyk_2019,172,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
reyk_2019,172,11,2019,reyk,9.455185609689648,10.944774374367169,10.659,10.5615,127.44557499999999,8.06415,0.8366600265340756,0.0181839353748078,10.749795776804923,2,2,77,2,34
reyk_2019,172,12,2019,reyk,10.894808682126031,12.528664696030082,10.683,10.553666666666667,124.25894999999998,8.065075,1.61245154965971,0.02629811061280699,10.74378117598579,2,2,77,2,35
reyk_2019,172,13,2019,reyk,12.165732754574423,12.971117928806438,10.6995,10.5855,127.44465,9.160275,1.5491933384829668,0.02515466311460755,10.739649579007168,2,2,77,2,36
