mean,se_mean,sd,lower,middle,upper,n_eff,Rhat,var,name,layer
2.074856266636511,0.004528552729760712,0.3188487344410832,1.7630733377470726,2.048824985457469,2.3850254147476324,4957.3609012065535,0.9996776525631828,opt[1],opt,pelagic
0.7371557684627782,0.001172108040279355,0.07349733623768841,0.6669133201705095,0.7309683021918857,0.80691836013448,3931.949291836531,1.0000144670102458,opt[2],opt,benthic
1.1089190838756036,0.0023368810947972125,0.056464067833015816,1.0516623260941311,1.1033141046031423,1.1648255803254797,583.8094158696287,1.003714895822314,gamma_1[1],gamma_1,pelagic
1.05830642638521,0.0012329640602171928,0.03385879575183739,1.0239264945706517,1.0540945608907526,1.0917074630111607,754.1229890034678,1.0018089389527352,gamma_1[2],gamma_1,benthic
1.146896520412448,0.0022134738007753333,0.108602468737821,1.0379141933128495,1.127189892236769,1.2564619120600993,2407.3022598537514,1.002347939457823,gamma_2[1],gamma_2,pelagic
1.1491813055334348,0.0022671106246937556,0.05603420966717542,1.0937054122621443,1.14454942354734,1.2053176948622752,610.8872728070011,1.001922749286166,gamma_2[2],gamma_2,benthic
0.2324266999230234,4.0819799383597406e-5,0.003597224666849289,0.22883638164526282,0.23238447378879137,0.23591727440549776,7765.928605889625,0.999231975674024,sig_proc,sig_proc,NA
-1.416630290871649,0.001606744526868444,0.08817515214539749,-1.5056518661438716,-1.411989081938502,-1.3307021419576068,3011.6103219726256,1.0004921197697632,c0,c0,NA
0.2003404396114756,0.0012290945680691607,0.092218407250291,0.10889742499467493,0.1993017147672514,0.2930929946765001,5629.432750623289,1.000043118070235,c1,c1,NA
184.0215803346558,0.40164296841164326,28.279090432933714,156.3691649754894,181.71283366254607,211.53086747144127,4957.360901206523,0.9996776525631826,omega[1],omega,pelagic
65.37926103441878,0.10395571845794284,6.5185700726981555,59.1493710178574,64.8304869628139,71.5665919710715,3931.9492918365218,1.0000144670102458,omega[2],omega,benthic
1691.3238756450903,2.0209975065946217,24.3362677224573,1667.013888043618,1691.1043143965185,1715.4130260154002,145.00280161873056,1.013279517332106,lp__,lp__,NA
