name,site,layer,year,yday,hour,lower,middle,upper
b,st33,pelagic,2018,165,1,0.3605569177259286,0.42711546152191465,0.499283568168617
b,st33,benthic,2018,165,1,0.321453125544941,0.4074546509195801,0.5039277965449376
b,st33,pelagic,2018,165,2,0.3594397753168849,0.4251860981950164,0.49628960539714007
b,st33,benthic,2018,165,2,0.3204424011984272,0.4052499847207235,0.5008341155993371
b,st33,pelagic,2018,165,3,0.35781375918047176,0.4232892881290041,0.4930553500640098
b,st33,benthic,2018,165,3,0.31911593836163343,0.4021560462754079,0.4972230169012476
b,st33,pelagic,2018,165,4,0.3570006565069961,0.4216529524580813,0.4906574043288096
b,st33,benthic,2018,165,4,0.31808201397947927,0.40036710562487177,0.49514821158935657
b,st33,pelagic,2018,165,5,0.355738299402114,0.42026786015013584,0.48871657208224106
b,st33,benthic,2018,165,5,0.31651700877414085,0.3983831089628359,0.491795933958353
b,st33,pelagic,2018,165,6,0.35418452036362486,0.4186905791364931,0.48572516939448906
b,st33,benthic,2018,165,6,0.3155636402652826,0.39705179615734715,0.4893213435745092
b,st33,pelagic,2018,165,7,0.3528718574598224,0.41696563148868215,0.48302083706185767
b,st33,benthic,2018,165,7,0.313712274301389,0.3943878873859334,0.48599365762966706
b,st33,pelagic,2018,165,8,0.35148382809311635,0.4149941725401096,0.4807383598296371
b,st33,benthic,2018,165,8,0.31205229711836896,0.3919336544368397,0.48212717934107796
b,st33,pelagic,2018,165,9,0.35029869779806344,0.41319508027722274,0.47821504191483294
b,st33,benthic,2018,165,9,0.3111153551301692,0.3901447491084895,0.47991529448567904
b,st33,pelagic,2018,165,10,0.3490128204227899,0.4117005199951044,0.47617596341420254
b,st33,benthic,2018,165,10,0.310501531201739,0.38931791913625385,0.4780139310866751
b,st33,pelagic,2018,165,11,0.34863006825588094,0.41104669621748047,0.4751009285603184
b,st33,benthic,2018,165,11,0.3095463471276669,0.38808570658490904,0.4757072422211615
b,st33,pelagic,2018,165,12,0.3478415808560826,0.4100757230316761,0.47391473367813547
b,st33,benthic,2018,165,12,0.30866286784660635,0.38673954157018375,0.4736763250308747
b,st33,pelagic,2018,165,13,0.3468733658296642,0.40867667317683454,0.47227796192409083
b,st33,benthic,2018,165,13,0.30790499503012414,0.38510253040581655,0.47157652826692015
b,st33,pelagic,2018,165,14,0.346045384500781,0.40793251124777574,0.4712508934630908
b,st33,benthic,2018,165,14,0.30751925038733,0.3847696657136116,0.47049347265905644
