site,date,yday,year,hour,temp.ben,temp.pel,do_eq.ben,do_eq.pel,do.ben,do.pel,do_sat.ben,do_sat.pel,par.ben,par.pel,wspeed
st33,2018-07-25,206,2018,5,12.463666666666667,12.485,9.844735935161536,9.83925272426285,11.517040049603184,11.795,114.18594183333333,114.35,0.298775,4.87845,0.9
st33,2018-07-25,206,2018,6,12.452,12.46,9.847738406665759,9.84567643052701,11.473414280146397,11.780000000000001,113.723328,114.2,1.2940749999999999,14.4374,0.2
st33,2018-07-25,206,2018,7,12.448333333333334,12.48,9.848682780074542,9.840536509719982,11.455637798386435,11.785,113.53763466666666,114.25,1.9906000000000001,21.207474999999995,0
st33,2018-07-25,206,2018,8,12.439916666666667,12.51,9.850845980655018,9.832833795520774,11.408994919640113,11.850000000000001,113.05395825,115,3.684275,31.860699999999998,0.8
st33,2018-07-25,206,2018,9,12.436416666666666,12.55,9.851746283916036,9.822578352500845,11.471049518811355,11.91,113.65989625,115.65,7.666399999999999,79.65267499999999,1.1
st33,2018-07-25,206,2018,10,12.44675,12.585,9.849091468588385,9.813618332079358,11.597278848005947,11.93,114.93740833333334,115.95,5.6758,50.18124999999999,4.7
st33,2018-07-25,206,2018,11,12.446,12.7,9.849282520905689,9.78427038676535,11.600377500789795,12.18,114.96613975,118.69999999999999,5.476,48.58839999999999,1.1
st33,2018-07-25,206,2018,12,12.438833333333333,12.77,9.851125265959782,9.766475027231445,11.546884968521285,12.43,114.41753458333334,121.3,5.177225,47.791974999999994,0.5
st33,2018-07-25,206,2018,13,12.342666666666666,12.86,9.875940575721383,9.743702612362487,11.233350232892601,12.54,111.06973741666667,122.6,10.255474999999999,101.956275,3.4
st33,2018-07-25,206,2018,14,12.131833333333333,12.95,9.93063804981059,9.720948921986782,11.119189340856147,12.555,109.415516,123,18.021774999999998,73.281275,1
st33,2018-07-25,206,2018,15,12.108833333333333,13.015,9.936635784408995,9.704591149019608,11.225277426955737,12.575,110.40163108333334,123.44999999999999,6.372325,51.77409999999999,1.4
st33,2018-07-25,206,2018,16,12.10825,13.015,9.936787894650783,9.704591149019608,11.41299055086139,12.675,112.24640408333333,124.35,14.4374,133.816975,3.2
st33,2018-07-25,206,2018,17,12.168916666666666,13.115,9.920982081730699,9.679526372042822,11.660393512603244,12.775,114.83778908333333,125.69999999999999,13.938825,93.99109999999999,3.3
st33,2018-07-25,206,2018,18,12.268166666666666,13.23,9.89520888516319,9.650797493717793,11.858462660286488,12.905,117.052246,127.30000000000001,8.26395,73.281275,4.2
st33,2018-07-25,206,2018,19,12.380333333333333,13.32,9.866204956073354,9.628416619373388,12.042587870442425,12.96,119.17190158333334,128.1,3.8831499999999997,44.008725,1.8
st33,2018-07-25,206,2018,20,12.452,13.33,9.847736923902978,9.625935161797798,12.035412042942989,12.98,119.29378941666667,128.3,1.2940749999999999,12.247,2.1
st33,2018-07-25,206,2018,21,12.449166666666667,13.33,9.848465914703931,9.625935161797798,11.998472840019765,12.98,118.92004225,128.2,0.4976499999999999,5.774775,2.1
st33,2018-07-25,206,2018,22,12.452666666666667,13.32,9.847565628238916,9.628417126605816,11.957945723346826,12.92,118.52780283333333,127.7,0,0.9952999999999999,0.7
st33,2018-07-25,206,2018,23,12.436222222222222,13.305,9.851799607761071,9.632140834942476,10.892471245504709,12.81,107.93295388888889,126.5,0,0,3.3
st33,2018-07-26,207,2018,0,12.429,13.21,9.853655334676217,9.655787893551892,11.729542395779609,12.73,116.20127616666667,125.45,0,0,2
st33,2018-07-26,207,2018,1,12.4595,13.1,9.845813584861443,9.683268380380795,12.084419683024352,12.71,119.79982316666667,125,0,0,0.7
st33,2018-07-26,207,2018,2,12.5375,13.06,9.825789804352787,9.693292729822172,12.022935888313292,12.65,119.400148,124.25,0,0,0.2
st33,2018-07-26,207,2018,3,12.59575,13.015,9.810880902328625,9.704591149019608,11.828699284862699,12.615,117.62560458333333,123.75,0,0.198875,1.6
