name,site,year,yday,layer,lower,middle,upper
b0,reyk,2019,171,pelagic,0.2457515521769144,0.31083804794209025,0.3789298888003797
b0,reyk,2019,171,benthic,0.21967895574593743,0.3402163028242627,0.5168707121828667
b0,reyk,2019,172,pelagic,0.2464030182119035,0.311409309299137,0.3787520821561212
b0,reyk,2019,172,benthic,0.21874467785036894,0.34097931221355215,0.5166693257753037
b0,reyk,2019,173,pelagic,0.24794953450749152,0.3115125992489444,0.37752983078500624
b0,reyk,2019,173,benthic,0.21971004951986817,0.34182441640094746,0.5175014550461934
b0,reyk,2019,174,pelagic,0.24794790405741168,0.3116942551709425,0.37742094197662995
b0,reyk,2019,174,benthic,0.21948643392519918,0.341493214600159,0.5186321189839068
b0,reyk,2019,175,pelagic,0.24905196532912913,0.3118699780893613,0.37691635317053734
b0,reyk,2019,175,benthic,0.21834959930535475,0.33977334531186343,0.5189878133707589
b0,reyk,2019,176,pelagic,0.25090398797114083,0.3125957634085464,0.3761066736894279
b0,reyk,2019,176,benthic,0.2195302357098611,0.3413941141012763,0.517880155609932
b0,reyk,2019,177,pelagic,0.2520151259407753,0.3135068214430257,0.37726546898607083
b0,reyk,2019,177,benthic,0.22022781673891192,0.337595590471844,0.5179766530909696
b0,reyk,2019,178,pelagic,0.25408411842386996,0.31362272102778854,0.37699868868464714
b0,reyk,2019,178,benthic,0.21839006872170347,0.33832217414586757,0.5186764876433836
b0,reyk,2019,179,pelagic,0.25514865688783733,0.31403995848400124,0.3771941169185068
b0,reyk,2019,179,benthic,0.2184864161423134,0.3375609659678456,0.5167951321650384
b0,reyk,2019,180,pelagic,0.2567970234331861,0.3156259052721636,0.3779727381158571
b0,reyk,2019,180,benthic,0.21883381234832716,0.33657756300180164,0.5156203301709577
b0,reyk,2019,181,pelagic,0.2584185564022154,0.3178606392164884,0.3787630347228307
b0,reyk,2019,181,benthic,0.2180303710542178,0.3373286373925617,0.5171583478856164
b0,reyk,2019,182,pelagic,0.2606083272348161,0.3190842591020099,0.379673530314325
b0,reyk,2019,182,benthic,0.21776650525892094,0.33662755570330716,0.5150600258827225
b0,reyk,2019,183,pelagic,0.26181004308508055,0.32044012723394155,0.3807826718964366
b0,reyk,2019,183,benthic,0.21677641176194512,0.3357978540191838,0.5118946938054673
b0,reyk,2019,184,pelagic,0.2644103427546125,0.3216560636317034,0.3833658150580083
b0,reyk,2019,184,benthic,0.21536749484594064,0.336005758229621,0.511468075545332
b0,reyk,2019,185,pelagic,0.26670786019260906,0.3236819961277131,0.38499123954880926
b0,reyk,2019,185,benthic,0.21483088418154797,0.33497661948278235,0.5120521411153092
b0,reyk,2019,186,pelagic,0.26965307875686295,0.32672547048270506,0.3867740389389807
b0,reyk,2019,186,benthic,0.21535670628170112,0.33329184639186915,0.5121264969735152
b0,reyk,2019,187,pelagic,0.2726866271458933,0.32837698457709186,0.38800015690612366
b0,reyk,2019,187,benthic,0.2141369791932709,0.33258909013807625,0.5121305138795114
b0,reyk,2019,188,pelagic,0.27601702080932705,0.3313606421083455,0.3906027910491524
b0,reyk,2019,188,benthic,0.2129103587899108,0.32982285245032406,0.5106005608256308
b0,reyk,2019,189,pelagic,0.2788244068868115,0.3337331073520917,0.39366347117448064
b0,reyk,2019,189,benthic,0.21085625056680551,0.32957590926818275,0.5100417992268717
b0,reyk,2019,190,pelagic,0.2809793802234156,0.33656344008365957,0.3963735190089068
b0,reyk,2019,190,benthic,0.21001783901256416,0.3297105997563584,0.5083858318745786
b0,reyk,2019,191,pelagic,0.28472467611604324,0.3387960886717022,0.3984667049972299
b0,reyk,2019,191,benthic,0.20833496737324866,0.32913775947715296,0.5098909396621546
b0,reyk,2019,192,pelagic,0.28562330211635234,0.34025033615307343,0.40157547545823336
b0,reyk,2019,192,benthic,0.20721745752283355,0.327830688328001,0.5084675164251825
b0,reyk,2019,193,pelagic,0.28881115761750265,0.3432474912309488,0.40215795289495404
b0,reyk,2019,193,benthic,0.20666231599711196,0.3267050867665303,0.5079607463742565
