name,site,layer,year,yday,hour,lower,middle,upper
b,reyk,pelagic,2019,171,1,0.2222714249054224,0.2842704972775807,0.3516242007796467
b,reyk,benthic,2019,171,1,0.2096758285251212,0.3284804165506898,0.5009364231037403
b,reyk,pelagic,2019,171,2,0.22155245839060583,0.2833744126628731,0.3508559035462984
b,reyk,benthic,2019,171,2,0.20892266565649312,0.32745005985722736,0.4998802503646595
b,reyk,pelagic,2019,171,3,0.22036165093520443,0.2816669821790573,0.34922041088789846
b,reyk,benthic,2019,171,3,0.20825275794121234,0.3268875626031172,0.49863463687300935
b,reyk,pelagic,2019,171,4,0.21964280057364438,0.28081758619618746,0.34837298751486917
b,reyk,benthic,2019,171,4,0.20799882401911884,0.3260215018016828,0.49784247591700465
b,reyk,pelagic,2019,171,5,0.21921023441561377,0.28039398597928766,0.3478060865021301
b,reyk,benthic,2019,171,5,0.20730243889045427,0.32538720699380846,0.4964367467195544
b,reyk,pelagic,2019,171,6,0.2184977445725134,0.279499627588754,0.34687379138341196
b,reyk,benthic,2019,171,6,0.2063764669290854,0.32386074735627113,0.4951647911533995
b,reyk,pelagic,2019,171,7,0.2160127296390044,0.2764084663188543,0.3441752480539527
b,reyk,benthic,2019,171,7,0.2057251342881381,0.32317225855438914,0.4941232939855995
b,reyk,pelagic,2019,171,8,0.2148851121145932,0.274806882283868,0.3427281082152372
b,reyk,benthic,2019,171,8,0.20585467028105056,0.32343456428790274,0.4946724160956188
b,reyk,pelagic,2019,171,9,0.2137433000133457,0.2734584932043898,0.34160494077324577
b,reyk,benthic,2019,171,9,0.20600743741371688,0.32358969724236536,0.4949443691558475
b,reyk,pelagic,2019,171,10,0.21346022055322797,0.27323943526684413,0.34141872294952086
b,reyk,benthic,2019,171,10,0.2063764669290854,0.32386074735627113,0.4951647911533995
b,reyk,pelagic,2019,171,11,0.21312681659598148,0.27290886035830364,0.34121320049130754
b,reyk,benthic,2019,171,11,0.2058675239713756,0.32346193433389436,0.49473620966326304
b,reyk,pelagic,2019,171,12,0.21396170185713712,0.2736731265268827,0.3417789003473581
b,reyk,benthic,2019,171,12,0.2058675239713756,0.32346193433389436,0.49473620966326304
b,reyk,pelagic,2019,171,13,0.21418753012931868,0.2739480492013254,0.3421491672571334
b,reyk,benthic,2019,171,13,0.2058353913477766,0.32339351432646923,0.4945767422631988
b,reyk,pelagic,2019,171,14,0.21250122132232632,0.27237380746654594,0.3407233832231281
b,reyk,benthic,2019,171,14,0.20639083338235853,0.3239811120716357,0.4952182450090795
b,reyk,pelagic,2019,171,15,0.21360305517011863,0.2733325463431318,0.3415118186091565
b,reyk,benthic,2019,171,15,0.20642487947259214,0.3241461870827517,0.4953448693774916
b,reyk,pelagic,2019,171,16,0.2147114299666351,0.2746060900005521,0.3426208929856024
b,reyk,benthic,2019,171,16,0.20701891704943548,0.32486276136436515,0.49614041384117835
b,reyk,pelagic,2019,171,17,0.21570335299230242,0.2759275802675543,0.3437469949465738
b,reyk,benthic,2019,171,17,0.20731886369479652,0.3254206395179885,0.49651170558096525
b,reyk,pelagic,2019,171,18,0.21583609867668685,0.2760532909621992,0.34389918851916224
b,reyk,benthic,2019,171,18,0.20777637576652336,0.32586141506790145,0.49728403356069883
b,reyk,pelagic,2019,171,19,0.21640310631216494,0.27701411365574385,0.34448801762772024
b,reyk,benthic,2019,171,19,0.2078897841886683,0.32590068316196,0.4975459431623145
b,reyk,pelagic,2019,171,20,0.21675266286490077,0.2773562417168681,0.3450743379333324
b,reyk,benthic,2019,171,20,0.20804552569062362,0.3262495327758358,0.4979239981278041
b,reyk,pelagic,2019,171,21,0.21731137740544904,0.2780805824293572,0.3455642777590346
b,reyk,benthic,2019,171,21,0.2081281433193625,0.3266690310013346,0.49840607782114454
b,reyk,pelagic,2019,171,22,0.2172487378969557,0.277973949308987,0.3454982397251716
b,reyk,benthic,2019,171,22,0.20814444655119085,0.32669008694201657,0.4984421489288365
b,reyk,pelagic,2019,171,23,0.21743055319320465,0.27827468288324697,0.3456781652342657
b,reyk,benthic,2019,171,23,0.20821608803040287,0.326766427862452,0.4985640143040518
b,reyk,pelagic,2019,171,24,0.21727694576890727,0.2780240486083012,0.3455315571321631
b,reyk,benthic,2019,171,24,0.2079463151823817,0.325915859458076,0.49760903398071105
b,reyk,pelagic,2019,172,1,0.21767671106894382,0.27874858681186054,0.34539789575323504
b,reyk,benthic,2019,172,1,0.20781225721327906,0.3253402697748927,0.4986266465779367
b,reyk,pelagic,2019,172,2,0.21720773371662552,0.2782917649753093,0.34474641156485347
b,reyk,benthic,2019,172,2,0.20765178397595757,0.32494188571586513,0.4982578928139418
b,reyk,pelagic,2019,172,3,0.21632602870143547,0.27734799046489944,0.34365906044826566
b,reyk,benthic,2019,172,3,0.20762519767914,0.32489022971001946,0.4981822662424542
b,reyk,pelagic,2019,172,4,0.21547263606659378,0.2763867435832748,0.3427357984966699
b,reyk,benthic,2019,172,4,0.20757704972931088,0.3247642024060278,0.49803797853922044
b,reyk,pelagic,2019,172,5,0.21515896459552958,0.2758650374648078,0.3423076242761173
b,reyk,benthic,2019,172,5,0.20765178397595757,0.32494188571586513,0.4982578928139418
b,reyk,pelagic,2019,172,6,0.21510874995306187,0.27579646816249415,0.3421995152911671
b,reyk,benthic,2019,172,6,0.20760526040579527,0.3248514931160134,0.4981049566623235
b,reyk,pelagic,2019,172,7,0.2152514308952651,0.2759827114604301,0.34246069398379025
b,reyk,benthic,2019,172,7,0.2075986151144922,0.32482361964793005,0.4980571229923144
b,reyk,pelagic,2019,172,8,0.21531223349260836,0.27604635388582577,0.3425449138328977
b,reyk,benthic,2019,172,8,0.2075978767631884,0.32482031830463287,0.49805605938873404
b,reyk,pelagic,2019,172,9,0.21551640922790166,0.276483755202144,0.34282030381200007
b,reyk,benthic,2019,172,9,0.20738546495027266,0.32440769184097074,0.497860043160031
b,reyk,pelagic,2019,172,11,0.21726274941689466,0.2783878119042541,0.3448329945326544
b,reyk,benthic,2019,172,11,0.20738546495027266,0.32440769184097074,0.497860043160031
b,reyk,pelagic,2019,172,12,0.21778636292846593,0.27885053122528813,0.34553499530717774
b,reyk,benthic,2019,172,12,0.20729457389134096,0.3242967728126657,0.4978323233655618
b,reyk,pelagic,2019,172,13,0.21815567609858752,0.27922466746907104,0.34582799392793456
b,reyk,benthic,2019,172,13,0.20761855168811003,0.32487731699677774,0.49815649456292876
b,reyk,pelagic,2019,172,14,0.2191500970925454,0.2804564625255144,0.3469449981330819
b,reyk,benthic,2019,172,14,0.2077559219994224,0.3252251569103417,0.4985278253730562
b,reyk,pelagic,2019,172,15,0.22039925929863227,0.2818917201762381,0.34842768943138874
b,reyk,benthic,2019,172,15,0.20781821873775916,0.3253562143608154,0.4986365297843679
b,reyk,pelagic,2019,172,16,0.22099746321326533,0.28265806948678335,0.34894036958740043
b,reyk,benthic,2019,172,16,0.20928505578569614,0.32807377494714435,0.5011845827930499
b,reyk,pelagic,2019,172,17,0.22207687414011096,0.2836429750727304,0.34988245349697333
b,reyk,benthic,2019,172,17,0.20962639117320914,0.32877474584098004,0.502315702776335
b,reyk,pelagic,2019,172,18,0.22352881936819674,0.28511145547202044,0.35081806086622724
b,reyk,benthic,2019,172,18,0.2102398984545682,0.3296439209968678,0.5033900966869791
b,reyk,pelagic,2019,172,19,0.22495701549075087,0.28660788537098175,0.35226274289392023
b,reyk,benthic,2019,172,19,0.21058717409810593,0.3300909227991413,0.503742479657623
b,reyk,pelagic,2019,172,20,0.22542004743278332,0.28715879448041515,0.3528776678599357
b,reyk,benthic,2019,172,20,0.2106578240666266,0.330191856517272,0.503776252646442
