mean,se_mean,sd,lower,middle,upper,n_eff,Rhat,var,name,layer
1.8535924677741504,0.007715580412586496,0.4048417100454694,1.4830573111776446,1.8492683125425162,2.2021328436496996,2753.1717047646785,1.002142259060876,opt[1],opt,pelagic
0.768401007626935,0.0443079980567454,0.4976798984019378,0.27387210677489,0.7500323476347106,1.0614203231614694,126.16414339941437,1.0280615730794138,opt[2],opt,benthic
1.1242550147012436,0.017810250525983073,0.09204578472938256,1.0552472879953665,1.0824842316659888,1.2142000005273972,26.70962264404644,1.0746652099228515,gamma_1[1],gamma_1,pelagic
1.20924473916389,0.03024970925417132,0.12101293619393556,1.0724262494800407,1.2217260823825056,1.2867734156774728,16.003728961114376,1.0835096096823686,gamma_1[2],gamma_1,benthic
1.117632452366102,0.039530114743093925,0.11709834985875463,1.0241664145502796,1.0747582458327902,1.2374625815637454,8.774965147752987,1.1440307454941439,gamma_2[1],gamma_2,pelagic
1.114332441277374,0.032824128384936355,0.10302005558020978,1.0353995594620302,1.0767721119893388,1.2167452480137777,9.85047457673026,1.1310249502797234,gamma_2[2],gamma_2,benthic
0.3918629326229735,0.00636426908719642,0.009867223137101937,0.3827551661039492,0.38900423703526477,0.4064855563571906,2.4037695610536227,2.3341745032802494,sig_proc,sig_proc,NA
-1.5012933399883643,0.01574869113508101,0.08998395083302511,-1.5809655145045265,-1.5168400620951976,-1.4051435098841225,32.64684245404446,1.0613355419250412,c0,c0,NA
1.319515368922889,0.44786196508604575,0.6422139627552234,0.8412425157586306,1.0089241806923503,2.4077000553283945,2.056227317339224,5.796473998661701,c1,c1,NA
27.313894349928038,0.11369411124702444,5.9656067279474305,21.853817069637667,27.250175101386112,32.44986418626475,2753.171704764702,1.002142259060876,omega[1],omega,pelagic
11.32289017439923,0.6529072591841408,7.333638003696154,4.03568417540258,11.052215985169358,15.640720963067325,126.16414339940856,1.0280615730794138,omega[2],omega,benthic
653.0515485281088,64.50045615895007,101.285304590293,561.8015170703441,625.9298113262246,806.9872627549985,2.4658536923253385,2.489243914237676,lp__,lp__,NA
