name,site,layer,year,yday,hour,lower,middle,upper
b,reyk,pelagic,2019,171,1,0.159694983975281,0.21941282690614233,0.2869771837345112
b,reyk,benthic,2019,171,1,0.16941611934574724,0.28859299994196946,0.42701849567039635
b,reyk,pelagic,2019,171,2,0.15854411132801555,0.21790551663203983,0.28568871684745345
b,reyk,benthic,2019,171,2,0.16858479010358554,0.28753848238431345,0.42504748427802497
b,reyk,pelagic,2019,171,3,0.15653807242768236,0.2154024178667695,0.2829664825263387
b,reyk,benthic,2019,171,3,0.1676979538415782,0.2866632745751596,0.42388651168202074
b,reyk,pelagic,2019,171,4,0.1552540372653743,0.2139633240552245,0.2817188815318507
b,reyk,benthic,2019,171,4,0.16726444158439185,0.2859536918307769,0.4233534455936459
b,reyk,pelagic,2019,171,5,0.15460580078487582,0.21313267170978817,0.28108561322344067
b,reyk,benthic,2019,171,5,0.16635466892266956,0.2850240375245158,0.42234440727803463
b,reyk,pelagic,2019,171,6,0.15355932094920563,0.21178835833125662,0.27970580735054684
b,reyk,benthic,2019,171,6,0.1646860160490751,0.28267781023067184,0.4189508706300017
b,reyk,pelagic,2019,171,7,0.15000549908082317,0.2073512652582417,0.2756127104075409
b,reyk,benthic,2019,171,7,0.163750199546195,0.2814680212332438,0.417267076208256
b,reyk,pelagic,2019,171,8,0.14824696501474002,0.2052443933105414,0.2735178535347482
b,reyk,benthic,2019,171,8,0.1640308040667305,0.2816295767362017,0.41786702798999265
b,reyk,pelagic,2019,171,9,0.14642756999156262,0.2031602266733985,0.2706326766182573
b,reyk,benthic,2019,171,9,0.16422985648963134,0.2820089569513282,0.418270326094599
b,reyk,pelagic,2019,171,10,0.14615955310321194,0.2028532564005298,0.27023315485821925
b,reyk,benthic,2019,171,10,0.1646860160490751,0.28267781023067184,0.4189508706300017
b,reyk,pelagic,2019,171,11,0.14576637417036636,0.2024446892717257,0.26966077822305456
b,reyk,benthic,2019,171,11,0.16406591342526083,0.28167699579921446,0.41794575386446386
b,reyk,pelagic,2019,171,12,0.14663733566141984,0.20337327919239162,0.270966051160076
b,reyk,benthic,2019,171,12,0.16406591342526083,0.28167699579921446,0.41794575386446386
b,reyk,pelagic,2019,171,13,0.14710613647315443,0.20386588942904574,0.27176851293347726
b,reyk,benthic,2019,171,13,0.1639781541160746,0.2815906181672118,0.41774896805726225
b,reyk,pelagic,2019,171,14,0.14492995224941002,0.2015249543869188,0.2685271584142405
b,reyk,benthic,2019,171,14,0.16490792417608585,0.2828454571974503,0.4192285821386739
b,reyk,pelagic,2019,171,15,0.1462935000958908,0.20300740659990044,0.27043226758250594
b,reyk,benthic,2019,171,15,0.1650675251978338,0.28326975630303236,0.4197192398048287
b,reyk,pelagic,2019,171,16,0.14804523264213498,0.2050083598465387,0.2732497977686137
b,reyk,benthic,2019,171,16,0.16567984603428074,0.28423309283940745,0.42110378732101716
b,reyk,pelagic,2019,171,17,0.1494845289856277,0.20670484534780464,0.27490403117013373
b,reyk,benthic,2019,171,17,0.16638613994961818,0.28507686573345703,0.42239588354634666
b,reyk,pelagic,2019,171,18,0.14967416072870082,0.20695373423897326,0.27519688574630535
b,reyk,benthic,2019,171,18,0.1668981588248075,0.2856524447497859,0.4231105174126709
b,reyk,pelagic,2019,171,19,0.15054594929317167,0.20812280038273143,0.2762072768819414
b,reyk,benthic,2019,171,19,0.16704606824490095,0.28573115195731874,0.423236129593359
b,reyk,pelagic,2019,171,20,0.15121568472688163,0.20901486079942933,0.27682676395426614
b,reyk,benthic,2019,171,20,0.1673536349609605,0.2862133105507759,0.4234497856907016
b,reyk,pelagic,2019,171,21,0.15194521673022604,0.20974403015320384,0.27779445473419906
b,reyk,benthic,2019,171,21,0.16747717850050747,0.28645402080213933,0.4237880722250695
b,reyk,pelagic,2019,171,22,0.15185810126816313,0.2096650851659853,0.2777071664822292
b,reyk,benthic,2019,171,22,0.16749182799422987,0.28646563726585966,0.42379785197137454
b,reyk,pelagic,2019,171,23,0.1521546700188512,0.2099157969857371,0.27794210134907227
b,reyk,benthic,2019,171,23,0.16756741682841506,0.2865102034230276,0.42380694676626424
b,reyk,pelagic,2019,171,24,0.1518958583848137,0.20970912253439283,0.277757992520846
b,reyk,benthic,2019,171,24,0.16712811321930607,0.2858236205594763,0.42329601927474375
b,reyk,pelagic,2019,172,1,0.15217058614095808,0.21021664771822618,0.2760840854969459
b,reyk,benthic,2019,172,1,0.16768930108319957,0.28571300711769354,0.4224754281885394
b,reyk,pelagic,2019,172,2,0.1514219980679826,0.20945844475154324,0.27548539507928893
b,reyk,benthic,2019,172,2,0.16738947755431044,0.28539848147505914,0.42180499856456355
b,reyk,pelagic,2019,172,3,0.1501522627594779,0.2079744894192227,0.27405741017634827
b,reyk,benthic,2019,172,3,0.16731000328617424,0.2853312108802079,0.4217498274397893
b,reyk,pelagic,2019,172,4,0.14875266705444556,0.2064503313522636,0.2724575430538921
b,reyk,benthic,2019,172,4,0.1671228722045329,0.28514686141319545,0.421661663475331
b,reyk,pelagic,2019,172,5,0.1479593754977853,0.20553883765857006,0.27150114590060975
b,reyk,benthic,2019,172,5,0.16738947755431044,0.28539848147505914,0.42180499856456355
b,reyk,pelagic,2019,172,6,0.14786692969698337,0.20542410007810233,0.2713676514677289
b,reyk,benthic,2019,172,6,0.1672077479196531,0.28525225487177774,0.4217123957242618
b,reyk,pelagic,2019,172,7,0.14809167899810724,0.20571106444775517,0.2717015108462814
b,reyk,benthic,2019,172,7,0.16717444229802234,0.28521711922078546,0.4216999192465149
b,reyk,pelagic,2019,172,8,0.148198866940147,0.205862623725437,0.2718984436648071
b,reyk,benthic,2019,172,8,0.16717074213121183,0.285213215537249,0.42169791628268016
b,reyk,pelagic,2019,172,9,0.1489286911608667,0.2066249258748203,0.2727439033744588
b,reyk,benthic,2019,172,9,0.1668760088490773,0.2846861622062751,0.42126466248726396
b,reyk,pelagic,2019,172,11,0.15151540454535017,0.20955174031786142,0.27557191710561824
b,reyk,benthic,2019,172,11,0.1668760088490773,0.2846861622062751,0.42126466248726396
b,reyk,pelagic,2019,172,12,0.15233214159021663,0.21036751973951004,0.27623782272841046
b,reyk,benthic,2019,172,12,0.16678785349805997,0.284404181675061,0.4209852697705336
b,reyk,pelagic,2019,172,13,0.15280373819080934,0.2109247759469372,0.27684396485642326
b,reyk,benthic,2019,172,13,0.1672743814180211,0.2853114919001698,0.42173734982088684
b,reyk,pelagic,2019,172,14,0.15432020532200943,0.21274277922615578,0.2786174666203353
b,reyk,benthic,2019,172,14,0.1676538764467282,0.285643349840381,0.42230868312933273
b,reyk,pelagic,2019,172,15,0.15604574134146817,0.21491875409934763,0.2810534530581817
b,reyk,benthic,2019,172,15,0.16769045059986956,0.28572348406264936,0.42249099538700624
b,reyk,pelagic,2019,172,16,0.1568954005687706,0.21586213753474168,0.2822249715847415
b,reyk,benthic,2019,172,16,0.16965497263584253,0.2885685200767378,0.42637871046520226
b,reyk,pelagic,2019,172,17,0.15851247036635882,0.21787731129056376,0.2839885437779188
b,reyk,benthic,2019,172,17,0.17101441892883704,0.28939302007119516,0.4273855865841514
b,reyk,pelagic,2019,172,18,0.16059459099518628,0.2205303062983327,0.2864059585909549
b,reyk,benthic,2019,172,18,0.17203499415358192,0.2903599426036921,0.42830413565455705
b,reyk,pelagic,2019,172,19,0.16258663180102917,0.22258227223376992,0.2884025888974768
b,reyk,benthic,2019,172,19,0.17224505922165811,0.29082913448833114,0.428817663029714
b,reyk,pelagic,2019,172,20,0.16329629819143432,0.22330410559053243,0.2892343287732732
b,reyk,benthic,2019,172,20,0.1723172600760862,0.2908644132225141,0.4290265574074122
b,reyk,pelagic,2019,172,21,0.16319771194562918,0.22320352583450623,0.2890908513814197
b,reyk,benthic,2019,172,21,0.17210730719006104,0.29046459225606625,0.4284449708472215
b,reyk,pelagic,2019,172,22,0.16241640810125513,0.22243469084904738,0.2882811747340852
b,reyk,benthic,2019,172,22,0.17207581051603155,0.29041901395369923,0.42838911448042405
b,reyk,pelagic,2019,172,23,0.16186424166844585,0.22187948103331717,0.28795920522008817
b,reyk,benthic,2019,172,23,0.17155644162678385,0.2898850546878592,0.4280657471998776
b,reyk,pelagic,2019,172,24,0.16069758915914895,0.22061380885931692,0.28657681956742065
b,reyk,benthic,2019,172,24,0.17109457259737224,0.2894607665242217,0.4275731422716493
b,reyk,pelagic,2019,173,1,0.1588343327797314,0.21761151394383518,0.2821227576736519
b,reyk,benthic,2019,173,1,0.17063126026332326,0.2885837647046736,0.42476268571357795
b,reyk,pelagic,2019,173,2,0.1577554982189838,0.2163941556634617,0.2810162090090071
b,reyk,benthic,2019,173,2,0.17067173880992248,0.2886460233727042,0.4248965027319521
b,reyk,pelagic,2019,173,3,0.15731304357219827,0.2158847323964629,0.28062155070946143
b,reyk,benthic,2019,173,3,0.17055746172391054,0.28848685378999334,0.424472654187313
b,reyk,pelagic,2019,173,4,0.15697750775108837,0.21547356520644628,0.2802601267990095
b,reyk,benthic,2019,173,4,0.17012774962593713,0.2881117074728503,0.42374039520657897
b,reyk,pelagic,2019,173,5,0.15575083106961154,0.21396631793950852,0.27879200311729013
b,reyk,benthic,2019,173,5,0.17050912211132996,0.28838838364865393,0.42421371143253606
b,reyk,pelagic,2019,173,6,0.1549777438684427,0.21303810836032588,0.2779788781307842
