name,site,year,yday,layer,lower,middle,upper
b0,reyk,2019,171,pelagic,0.1976793943506464,0.26322518329925515,0.3329418253424989
b0,reyk,2019,171,benthic,0.1821229065325394,0.30751233914271875,0.4529505496712084
b0,reyk,2019,172,pelagic,0.1984762384210126,0.26472321592479936,0.3318611041014932
b0,reyk,2019,172,benthic,0.1839551156540318,0.30861689301038425,0.4522339310644199
b0,reyk,2019,173,pelagic,0.19819908666864725,0.264366812279644,0.3313008777832757
b0,reyk,2019,173,benthic,0.18485221753224348,0.3076652948862506,0.45098688072936005
b0,reyk,2019,174,pelagic,0.199694330605244,0.2640148631546888,0.3305502961967174
b0,reyk,2019,174,benthic,0.18552686474290372,0.30756221362057146,0.4509713629036042
b0,reyk,2019,175,pelagic,0.20053671303936582,0.26322279263854137,0.33087444825648926
b0,reyk,2019,175,benthic,0.1848378387731112,0.30597034922247723,0.4519549732341451
b0,reyk,2019,176,pelagic,0.20087176809334134,0.262600586948874,0.33039830497747635
b0,reyk,2019,176,benthic,0.18386200952166196,0.3069734646861322,0.4499955755948229
b0,reyk,2019,177,pelagic,0.20201415419192043,0.26269345987440174,0.33019743798472717
b0,reyk,2019,177,benthic,0.18351758655400568,0.30667836347715255,0.44983376226770655
b0,reyk,2019,178,pelagic,0.20305140114572673,0.26393310923240665,0.3297281253842132
b0,reyk,2019,178,benthic,0.18492395465362482,0.3057590842432918,0.4495967157319579
b0,reyk,2019,179,pelagic,0.20611951506799026,0.26566764135415843,0.33143735513616657
b0,reyk,2019,179,benthic,0.18551095015862634,0.3062226495524659,0.44939160946784584
b0,reyk,2019,180,pelagic,0.20788918462975878,0.2662080215168027,0.33192750477825816
b0,reyk,2019,180,benthic,0.18546830015494634,0.3066417028797686,0.4487825575121174
b0,reyk,2019,181,pelagic,0.20958564068578245,0.26811967663097735,0.3335076248705733
b0,reyk,2019,181,benthic,0.1861489212618698,0.307669759543702,0.44697741969724963
b0,reyk,2019,182,pelagic,0.21255266768307868,0.27058349513106716,0.3341895044334748
b0,reyk,2019,182,benthic,0.1850550745262155,0.3072353263982631,0.44821789964240316
b0,reyk,2019,183,pelagic,0.21570861688355145,0.27197477427599565,0.3352562027143641
b0,reyk,2019,183,benthic,0.1852825629004189,0.307253164688243,0.4470763593807151
b0,reyk,2019,184,pelagic,0.21856881804119405,0.27366036541082006,0.3365604126864148
b0,reyk,2019,184,benthic,0.18405089574971092,0.3068953123450641,0.44685579946891363
b0,reyk,2019,185,pelagic,0.22039796157481234,0.27608997087860115,0.3382085629708831
b0,reyk,2019,185,benthic,0.18300750877799624,0.30557313711799333,0.44489932931223597
b0,reyk,2019,186,pelagic,0.22465137914745498,0.27867729000440167,0.3404802648363099
b0,reyk,2019,186,benthic,0.1817105806008973,0.30397654607122315,0.4436734008532722
b0,reyk,2019,187,pelagic,0.22804441191033745,0.28188868025162694,0.3431129782512748
b0,reyk,2019,187,benthic,0.18080939107799598,0.30271938352977334,0.4434158000006262
b0,reyk,2019,188,pelagic,0.22983212491178606,0.2846775795819171,0.3458089683145674
