name,site,year,yday,layer,lower,middle,upper
b0,st33,2017,181,pelagic,0.11401450531598672,0.14724003465270324,0.18245955848800374
b0,st33,2017,181,benthic,0.22955604086572223,0.268764224364619,0.30735532062005355
b0,st33,2017,182,pelagic,0.11512697100259475,0.14699187096105004,0.18111241678361747
b0,st33,2017,182,benthic,0.22908728221461375,0.26820467797071423,0.30456188060762257
b0,st33,2017,183,pelagic,0.11525966606161031,0.14564916969362507,0.18008064742798957
b0,st33,2017,183,benthic,0.23059415829151295,0.26757678267674767,0.3038205700074529
b0,st33,2017,184,pelagic,0.11616879254235359,0.1464300556848118,0.17941226529963683
b0,st33,2017,184,benthic,0.23223961838637935,0.2687295452591036,0.3040149151968442
b0,st33,2017,185,pelagic,0.11819199466584573,0.1471824020914949,0.1797416165831431
b0,st33,2017,185,benthic,0.23465807933414468,0.2704391876930693,0.30365163279557905
b0,st33,2017,186,pelagic,0.11876382312134934,0.14733545004978857,0.17884172485088978
b0,st33,2017,186,benthic,0.23703151095394046,0.271704367223545,0.30550504900921804
b0,st33,2017,187,pelagic,0.12022161352367372,0.14814097349578034,0.1782784697877686
b0,st33,2017,187,benthic,0.24051084237344664,0.27455122075628446,0.3078385250316476
b0,st33,2017,188,pelagic,0.12086900498554325,0.14966695467549324,0.17954260868679106
b0,st33,2017,188,benthic,0.2426922964934729,0.2758189494218617,0.3093669322942041
b0,st33,2017,189,pelagic,0.12232879311952663,0.15043896208967988,0.17998417635485667
b0,st33,2017,189,benthic,0.24495328323323912,0.277861564672073,0.31093781714174185
b0,st33,2017,190,pelagic,0.12359938334764092,0.15141766394079959,0.17999487643640513
b0,st33,2017,190,benthic,0.24700033899648105,0.27905660279096434,0.3118415952118038
b0,st33,2017,191,pelagic,0.12406766660563953,0.15162857320500744,0.1799203915374221
b0,st33,2017,191,benthic,0.24724100709622127,0.2795344467739349,0.31276372915989076
b0,st33,2017,192,pelagic,0.12390390048382247,0.1517036152057077,0.17990576127546742
b0,st33,2017,192,benthic,0.2478902972243942,0.2802432586315009,0.31279276442814663
b0,st33,2017,193,pelagic,0.1238344937998832,0.1518449531950125,0.17848090234871
b0,st33,2017,193,benthic,0.250529567985688,0.283289617776859,0.31552290008810935
b0,st33,2017,194,pelagic,0.12358960017683612,0.15088810419614668,0.17910100133912765
b0,st33,2017,194,benthic,0.2528301018590698,0.28509767073436587,0.31783603771249713
b0,st33,2017,195,pelagic,0.12289283502302069,0.14982648870683365,0.17844039379250015
b0,st33,2017,195,benthic,0.25608520814476937,0.28753614982131626,0.32098877981839713
b0,st33,2017,196,pelagic,0.12330678443521459,0.15084750228038918,0.17821888475361644
b0,st33,2017,196,benthic,0.2595312936743964,0.29092568467459085,0.32406022190293693
b0,st33,2017,197,pelagic,0.12379068972698416,0.15116625377781984,0.17860102966504482
b0,st33,2017,197,benthic,0.2617177398065639,0.29433434355819443,0.3266417805867887
b0,st33,2017,198,pelagic,0.12540543902385484,0.15244800133394165,0.18038476620562566
b0,st33,2017,198,benthic,0.26561800122161194,0.29806949069226485,0.33035713443591896
b0,st33,2017,199,pelagic,0.1235266665160091,0.15032112844221318,0.17778173029362138
b0,st33,2017,199,benthic,0.26864439561394776,0.30051550196215154,0.3340058595653545
b0,st33,2017,200,pelagic,0.12353637362990422,0.15023440081433648,0.17758455985975657
b0,st33,2017,200,benthic,0.27203674850675097,0.30509718705529504,0.33829270631761693
