name,site,layer,year,yday,hour,lower,middle,upper
b,st33,pelagic,2017,181,2,0.11729183763854004,0.15031179606523823,0.185784833976226
b,st33,benthic,2017,181,2,0.23346978404258262,0.2725414052560423,0.3105299641269307
b,st33,pelagic,2017,181,3,0.1169717807705764,0.14995462465660317,0.18549494502962147
b,st33,benthic,2017,181,3,0.23289137584333067,0.271912504783991,0.3101130159851099
b,st33,pelagic,2017,181,4,0.11633419164568942,0.14930239216143953,0.18476439671340245
b,st33,benthic,2017,181,4,0.23220620365255812,0.2713611930377066,0.30956096458241356
b,st33,pelagic,2017,181,5,0.11603576567465414,0.1491022555384977,0.1846081981072466
b,st33,benthic,2017,181,5,0.2320094270260596,0.27120017142842334,0.30941190679226543
b,st33,pelagic,2017,181,6,0.11594676432118278,0.14899048880874807,0.18450791785075496
b,st33,benthic,2017,181,6,0.23168869812195933,0.27082742648822433,0.30913696624800047
b,st33,pelagic,2017,181,7,0.11575560352238685,0.14876344163321065,0.18423210878329033
b,st33,benthic,2017,181,7,0.23159364009413436,0.27073148723195467,0.3090661878428218
b,st33,pelagic,2017,181,8,0.11583602248736816,0.14884495046821222,0.18440047276539856
b,st33,benthic,2017,181,8,0.23188322623846053,0.27103980967272095,0.30930010034773836
b,st33,pelagic,2017,181,9,0.1163728742407373,0.14935381884401527,0.1848422434473487
b,st33,benthic,2017,181,9,0.2326765816990014,0.27173799294854317,0.309973660518253
b,st33,pelagic,2017,181,10,0.1171026105527139,0.15013899908381434,0.18567882953238177
b,st33,benthic,2017,181,10,0.23415317743579914,0.27319400790004444,0.31097174047137477
b,st33,pelagic,2017,181,11,0.1180115309909738,0.1512068555679566,0.18685620786762305
b,st33,benthic,2017,181,11,0.23552594698077509,0.27485421716208247,0.3123874310990323
b,st33,pelagic,2017,181,12,0.11946487481413627,0.1527926219505772,0.18858963504968784
b,st33,benthic,2017,181,12,0.23697766176490154,0.27664967442803695,0.3141414604710162
b,st33,pelagic,2017,181,13,0.12101386400918707,0.15451361625168322,0.1904807169294526
b,st33,benthic,2017,181,13,0.23855334363108863,0.2779642719076544,0.3155237152506584
b,st33,pelagic,2017,181,14,0.12186175571133707,0.15580321788900026,0.19165197333911835
b,st33,benthic,2017,181,14,0.2390601521750936,0.2783538754662692,0.31609913208050056
b,st33,pelagic,2017,181,15,0.12243855356792624,0.15649211498448856,0.1924273431967538
b,st33,benthic,2017,181,15,0.24280376790214053,0.28132699181191245,0.31893126420663304
b,st33,pelagic,2017,181,16,0.12342110792321055,0.1576832705657491,0.19413944152779633
b,st33,benthic,2017,181,16,0.2439170020630291,0.2825316231850403,0.32026083461888005
b,st33,pelagic,2017,181,17,0.12394424105073869,0.15823556099788352,0.19478008211314204
b,st33,benthic,2017,181,17,0.2448614467452503,0.28345901823484443,0.3215768858641598
b,st33,pelagic,2017,181,18,0.12456234603913358,0.1590916478252895,0.19561325486746542
b,st33,benthic,2017,181,18,0.2453457916732142,0.2839669191368913,0.32212839148800104
b,st33,pelagic,2017,181,19,0.12479602630666001,0.15942004440485782,0.1961339782977675
b,st33,benthic,2017,181,19,0.24554105208703086,0.2842663690774174,0.32247784246284233
b,st33,pelagic,2017,181,20,0.1250384585246635,0.1596278671740065,0.19648243399737558
b,st33,benthic,2017,181,20,0.24560936221550977,0.2843032205961671,0.322505771383816
b,st33,pelagic,2017,181,21,0.12487522537978799,0.1594557587101318,0.19628773692964452
b,st33,benthic,2017,181,21,0.24534804277067457,0.28400873572844415,0.3221709650088115
b,st33,pelagic,2017,181,22,0.12467784442967483,0.15922843173665763,0.19585988878539268
b,st33,benthic,2017,181,22,0.24503800196774633,0.28369663951959107,0.3218063729822628
b,st33,pelagic,2017,181,23,0.12450595546555462,0.15902558856341703,0.1955039275412603
b,st33,benthic,2017,181,23,0.2447573212248374,0.28339232359137256,0.3214590982227532
b,st33,pelagic,2017,181,24,0.12420347995215429,0.15850607001548023,0.19504178575679995
b,st33,benthic,2017,181,24,0.24445692163982718,0.28294376396111776,0.3209379372868416
b,st33,pelagic,2017,182,1,0.12493594673500068,0.1586880080788814,0.1932146576979768
b,st33,benthic,2017,182,1,0.24373797809828074,0.28124433581028296,0.31883044716636183
b,st33,pelagic,2017,182,2,0.12449362013618806,0.1581440790587093,0.1928827358052773
b,st33,benthic,2017,182,2,0.24332137997674425,0.2807651780581999,0.31842974380292877
b,st33,pelagic,2017,182,3,0.1244057023236929,0.1579891450489259,0.1927847553152844
b,st33,benthic,2017,182,3,0.2428450676130911,0.2804439930434895,0.31795974818135236
b,st33,pelagic,2017,182,4,0.12421464764800147,0.1577602118787378,0.19256565406158374
b,st33,benthic,2017,182,4,0.24237579783428911,0.2801473611800065,0.3175818156108241
b,st33,pelagic,2017,182,5,0.1237800814731895,0.15735197453925379,0.19206058912146687
b,st33,benthic,2017,182,5,0.24213074711689786,0.27992295010182056,0.31724481127715826
b,st33,pelagic,2017,182,6,0.12354411519966055,0.1571199667033642,0.19179618917626565
b,st33,benthic,2017,182,6,0.24184651576714367,0.2796230116372634,0.3169819223020486
b,st33,pelagic,2017,182,7,0.12349703984577577,0.15705745621879358,0.1917188824234471
b,st33,benthic,2017,182,7,0.24193439792203555,0.27971283193131635,0.31705085624059465
b,st33,pelagic,2017,182,8,0.12354411519966055,0.1571199667033642,0.19179618917626565
b,st33,benthic,2017,182,8,0.2422010213734037,0.280024898257179,0.3172727601362828
b,st33,pelagic,2017,182,9,0.1237198101232557,0.15726699437710007,0.19201180495817718
b,st33,benthic,2017,182,9,0.24234270690389392,0.2801372656120271,0.3175290655314784
b,st33,pelagic,2017,182,10,0.12407453707346161,0.1576372408359365,0.19241987238548758
b,st33,benthic,2017,182,10,0.24283958568110678,0.2804398274337327,0.3179544139535153
b,st33,pelagic,2017,182,11,0.12449362013618806,0.1581440790587093,0.1928827358052773
b,st33,benthic,2017,182,11,0.24332512530865724,0.2807668639082568,0.31843130067726594
b,st33,pelagic,2017,182,12,0.12493594673500068,0.1586880080788814,0.1932146576979768
b,st33,benthic,2017,182,12,0.2442762841903684,0.2819720377210455,0.3195418217106531
b,st33,pelagic,2017,182,13,0.12555552112554758,0.15919399922177765,0.19388507644441277
b,st33,benthic,2017,182,13,0.24475387023350165,0.2825636753339104,0.3200506321011736
