name,site,year,yday,layer,lower,middle,upper
b0,st33,2017,181,pelagic,0.11684119984672518,0.15041644274381624,0.18401230540621105
b0,st33,2017,181,benthic,0.23773880541421372,0.27427512552823524,0.3112197801356963
b0,st33,2017,182,pelagic,0.11834484756023483,0.1500686826160471,0.18304222225487302
b0,st33,2017,182,benthic,0.23771110996735856,0.2730783415429475,0.30887301955610275
b0,st33,2017,183,pelagic,0.11805705801625707,0.14873080914351627,0.18126104322616243
b0,st33,2017,183,benthic,0.23988063861045095,0.27259005937032,0.307640882463596
b0,st33,2017,184,pelagic,0.1202544027969926,0.14969861377430477,0.1811786788415743
b0,st33,2017,184,benthic,0.24136843204745184,0.2736311837353249,0.307742663981416
b0,st33,2017,185,pelagic,0.12076298255841639,0.15023906479637067,0.18106756372972033
b0,st33,2017,185,benthic,0.24281438122909235,0.2748305702100947,0.3081971876409394
b0,st33,2017,186,pelagic,0.12222736272685641,0.14991876958906292,0.18140124612397346
b0,st33,2017,186,benthic,0.24500281474722801,0.2770730566235935,0.3107163441680664
b0,st33,2017,187,pelagic,0.12325220290093548,0.15086893340562962,0.18200495973547492
b0,st33,2017,187,benthic,0.2474174874841733,0.2792330778886985,0.31278467490010353
b0,st33,2017,188,pelagic,0.12454447560447628,0.1516606751314345,0.18146980551843217
b0,st33,2017,188,benthic,0.24975511346894666,0.28121150539667056,0.31405256139382004
b0,st33,2017,189,pelagic,0.12588573714226167,0.15319938634296357,0.18212263160414044
b0,st33,2017,189,benthic,0.2522623923496764,0.2835772390553237,0.31490600154451254
b0,st33,2017,190,pelagic,0.12702878381719707,0.15422452918494103,0.18295789797384107
b0,st33,2017,190,benthic,0.25396564857870585,0.2852702637746526,0.3158681254024449
b0,st33,2017,191,pelagic,0.1278852013453182,0.15404802613122964,0.18259023199308222
b0,st33,2017,191,benthic,0.2546046525614484,0.28605754090149527,0.3162813526918379
b0,st33,2017,192,pelagic,0.1278939449001738,0.15495025550727037,0.18324843875702956
b0,st33,2017,192,benthic,0.2565991160675204,0.2868717601439296,0.31706575203174603
b0,st33,2017,193,pelagic,0.1283890081538412,0.15358268522794535,0.1826110004075577
b0,st33,2017,193,benthic,0.25956049276045184,0.29022098019415954,0.32012178835585703
