name,site,year,yday,layer,lower,middle,upper
b0,st33,2019,171,pelagic,0.14742277730239764,0.18914437544029497,0.2293786699326665
b0,st33,2019,171,benthic,0.3530981306114538,0.40291179554282597,0.4508700080732866
b0,st33,2019,172,pelagic,0.14869853184058132,0.18898702887709223,0.227674267699102
b0,st33,2019,172,benthic,0.3548783205001762,0.4028887484381052,0.45055649474219467
b0,st33,2019,173,pelagic,0.1495538796846991,0.188621430634611,0.2268842611585622
b0,st33,2019,173,benthic,0.35551825513028285,0.4032622374398357,0.44927183825205474
b0,st33,2019,174,pelagic,0.14991706804060437,0.18807497958925612,0.22690212458445072
b0,st33,2019,174,benthic,0.3565714031955911,0.4041768795258933,0.4484273716659033
b0,st33,2019,175,pelagic,0.150652689627957,0.1879195799168034,0.2259047062707229
b0,st33,2019,175,benthic,0.35885397930303065,0.40524958657381194,0.44807322591143417
b0,st33,2019,176,pelagic,0.15217352365915807,0.18782215706568525,0.22613748447131515
b0,st33,2019,176,benthic,0.3610331507450899,0.4057157950234056,0.44827594124016557
b0,st33,2019,177,pelagic,0.152575131429529,0.1877026802815331,0.22503420776050698
b0,st33,2019,177,benthic,0.36234105448208764,0.40645541467334345,0.44859969664334887
b0,st33,2019,178,pelagic,0.15235069255470213,0.18663525976196332,0.2227715178147942
b0,st33,2019,178,benthic,0.36365526315613833,0.4078204330358059,0.44872392927930754
b0,st33,2019,179,pelagic,0.15218401215923816,0.18663443737743887,0.22198161621179635
b0,st33,2019,179,benthic,0.3642080116431914,0.4075110225636478,0.4487551478024067
b0,st33,2019,180,pelagic,0.15332769603430488,0.18594616076932324,0.22149490977076225
b0,st33,2019,180,benthic,0.3631482908216855,0.4065359717552518,0.4475930785498324
b0,st33,2019,181,pelagic,0.15446039717334628,0.18739353985932786,0.22085057402433872
b0,st33,2019,181,benthic,0.36379488138695903,0.4064309673298424,0.44747876584025814
b0,st33,2019,182,pelagic,0.15463045092557207,0.18739755509309786,0.22103006701149908
b0,st33,2019,182,benthic,0.36531861904314383,0.40668535267590455,0.44769403542448294
b0,st33,2019,183,pelagic,0.15436531861797048,0.18770829614078693,0.2208139426405131
b0,st33,2019,183,benthic,0.3662579389345818,0.40765197092237215,0.44715094196058897
b0,st33,2019,184,pelagic,0.15433010605615038,0.1869573785749133,0.2202134680945829
b0,st33,2019,184,benthic,0.36654625844670097,0.40832028511027063,0.44861456484176415
b0,st33,2019,185,pelagic,0.15353899973719012,0.1869888519753039,0.21926576879345644
b0,st33,2019,185,benthic,0.3685342897871977,0.41044527255027163,0.4505348934287541
b0,st33,2019,186,pelagic,0.1546220131409339,0.18815863341926264,0.22039825091405119
b0,st33,2019,186,benthic,0.3718592022430598,0.4137074778332791,0.4534728145998324
b0,st33,2019,187,pelagic,0.1562782765355968,0.18874419715065355,0.22198831229474766
b0,st33,2019,187,benthic,0.37594041274159473,0.4180866714677619,0.4577019287864395
b0,st33,2019,188,pelagic,0.15648026069166554,0.1892142346583569,0.22242164016466365
b0,st33,2019,188,benthic,0.38061798817378495,0.4229312074788234,0.46246749814085253
b0,st33,2019,189,pelagic,0.15769262758645813,0.18905266733145293,0.2232068048507866
b0,st33,2019,189,benthic,0.3859994250691698,0.42759646510700566,0.46952990102999437
b0,st33,2019,190,pelagic,0.15921168594790408,0.191742535857426,0.22481000229678894
b0,st33,2019,190,benthic,0.39233506379092425,0.4346837521642203,0.4760602393378559
b0,st33,2019,191,pelagic,0.1617496444855337,0.19402736347540445,0.22720459711666652
b0,st33,2019,191,benthic,0.3925509590153824,0.4361115463710484,0.47581095363499726
b0,st33,2019,192,pelagic,0.1632430282907534,0.19608477715343897,0.22963777736079719
b0,st33,2019,192,benthic,0.39377210593078293,0.43637228729340344,0.4768566763617624
b0,st33,2019,193,pelagic,0.16590538522242493,0.19890868088030045,0.23160654453592316
b0,st33,2019,193,benthic,0.39536168442076075,0.4387559563338682,0.47857374210421183
b0,st33,2019,194,pelagic,0.168911325580355,0.2007617395520831,0.23456580824950746
b0,st33,2019,194,benthic,0.3976133442037746,0.44058150530927254,0.48154768807686354
b0,st33,2019,195,pelagic,0.17040373113462545,0.20311125200618846,0.23631225734135364
b0,st33,2019,195,benthic,0.3991486457149405,0.44238715350294866,0.48356195759347936
b0,st33,2019,196,pelagic,0.17138466375772363,0.20360532102258644,0.2374509202158861
b0,st33,2019,196,benthic,0.40091368300879227,0.443704072753728,0.48637910763096015
b0,st33,2019,197,pelagic,0.17276445939118126,0.20551678065359755,0.23935251957104883
b0,st33,2019,197,benthic,0.4021754758163212,0.44631083660469306,0.48881416974889236
b0,st33,2019,198,pelagic,0.17550290150553918,0.20783920956580193,0.24144091528343445
b0,st33,2019,198,benthic,0.40449586493386414,0.4479645417298678,0.49148237132955186
b0,st33,2019,199,pelagic,0.17702026876590188,0.2097445502740411,0.2437410335544229
b0,st33,2019,199,benthic,0.40666008332613424,0.45075952491464233,0.4953898329984876
b0,st33,2019,200,pelagic,0.17779549529637403,0.21208570306851035,0.24596908770119513
b0,st33,2019,200,benthic,0.4099879050687728,0.4541642240103043,0.49858709661512224
b0,st33,2019,201,pelagic,0.1796222667339946,0.21442458923891633,0.2486450061517088
b0,st33,2019,201,benthic,0.4119379567455058,0.4574481030909586,0.5021330170914019
